"class"	"dataset"	"bodyid"	"cell_id"	"supervoxel_id"	"root_id"	"group"	"side"	"type"	"synonyms"	"soma_division"	"neuropil"	"neuropilgroup"	"cluster"	"hemilineage"	"manc_match_id"	"subclass"
"DN"	"FAFB"	NA	NA	"81067198742874678"	"720575940644438551"	"720575940627787609"	"L"	"DNa01"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78887554648419193"	"720575940627787609"	"720575940627787609"	"R"	"DNa01"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81137567487051293"	"720575940604737708"	"720575940604737708"	"L"	"DNa02"	""	"brain"	"LAL_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78535092317951076"	"720575940629327659"	"720575940604737708"	"R"	"DNa02"	""	"brain"	"LAL_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742878698"	"720575940630085583"	"720575940620918789"	"L"	"DNa03"	""	"brain"	"LAL_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78816429788909362"	"720575940620918789"	"720575940620918789"	"R"	"DNa03"	""	"brain"	"LAL_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067267462343296"	"720575940627432680"	"720575940627432680"	"L"	"DNa04"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78887142331394982"	"720575940628577897"	"720575940627432680"	"R"	"DNa04"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742881327"	"720575940623062515"	"720575940620534768"	"L"	"DNa05"	""	"brain"	"SPS_IPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78887211050967908"	"720575940620534768"	"720575940620534768"	"R"	"DNa05"	""	"brain"	"SPS_IPS"	"PS_LAL"	"6"	NA	NA	NA
