"dataset"	"root_id"	"supervoxel_id"	"side"	"soma_division"	"class"	"type"	"synonyms"	"hemilineage"	"group"	"subclass"	"cell_id"
"FANC"	"648518346512050990"	"73537812439483533"	"R"	"brain"	"DN"	"aSP22"	"DNa12"	NA	"73537812439483533"	NA	"10911"
"FANC"	"648518346494232199"	"73256337395807047"	"L"	"brain"	"DN"	"aSP22"	"DNa12"	NA	"73537812439483533"	NA	"10298"
"FANC"	"648518346488820970"	"73467443494130882"	"R"	"brain"	"DN"	"DNa01"	""	NA	"73326706072901182"	NA	"10854"
"FANC"	"648518346475464576"	"73326706072901182"	"L"	"brain"	"DN"	"DNa01"	""	NA	"73326706072901182"	NA	"10538"
"FANC"	"648518346492614075"	"73608180982162606"	"R"	"brain"	"DN"	"DNa02"	""	NA	"73608180982162606"	NA	"11162"
"FANC"	"648518346478550356"	"73185968584372728"	"L"	"brain"	"DN"	"DNa02"	""	NA	"73608180982162606"	NA	"10178"
"FANC"	"648518346479279058"	"73467443494030107"	"R"	"brain"	"DN"	"DNa03"	""	NA	"73467443494030107"	NA	"10851"
"FANC"	"648518346474413250"	"73326706072908255"	"L"	"brain"	"DN"	"DNa03"	""	NA	"73467443494030107"	NA	"10573"
"FANC"	"648518346494703267"	"73467443494185945"	"R"	"brain"	"DN"	"DNa04"	""	NA	"73467443494185945"	NA	"10868"
"FANC"	"648518346490530045"	"73256337194179847"	"L"	"brain"	"DN"	"DNa04"	""	NA	"73467443494185945"	NA	"10504"
"FANC"	"648518346489897499"	"73326706005766997"	"L"	"brain"	"DN"	"DNa05"	""	NA	"73326706005766997"	NA	"10564"
"FANC"	"648518346495288399"	"73467443359583822"	"R"	"brain"	"DN"	"DNa05"	""	NA	"73326706005766997"	NA	"10801"
"FANC"	"648518346479175868"	"73608181049516861"	"R"	"brain"	"DN"	"DNa06"	""	NA	"73185968584350030"	NA	"11275"
"FANC"	"648518346493903392"	"73185968584350030"	"L"	"brain"	"DN"	"DNa06"	""	NA	"73185968584350030"	NA	"10157"
"FANC"	"648518346486152352"	"73467443427085036"	"R"	"brain"	"DN"	"DNa07"	""	NA	"73467443427085036"	NA	"10841"
"FANC"	"648518346493068352"	"73326706072774488"	"L"	"brain"	"DN"	"DNa07"	""	NA	"73467443427085036"	NA	"10547"
"FANC"	"648518346486616781"	"73467443426989741"	"R"	"brain"	"DN"	"DNa08"	""	NA	"73467443426989741"	NA	"10808"
"FANC"	"648518346518572767"	"73326705938368737"	"L"	"brain"	"DN"	"DNa08"	""	NA	"73467443426989741"	NA	"10536"
"FANC"	"648518346477672087"	"73467443427020181"	"R"	"brain"	"DN"	"DNa09"	""	NA	"73467443427020181"	NA	"10852"
"FANC"	"648518346481212815"	"73256337261522049"	"L"	"brain"	"DN"	"DNa09"	""	NA	"73467443427020181"	NA	"10467"
"FANC"	"648518346498258770"	"73467443359579720"	"R"	"brain"	"DN"	"DNa10"	""	NA	"73467443359579720"	NA	"10818"
"FANC"	"648518346495435938"	"73326706005771540"	"L"	"brain"	"DN"	"DNa10"	""	NA	"73467443359579720"	NA	"10606"
