class	supervoxel_id	root_id	side	type	entry_nerve	entry_side	long_tract	comment_KE	xyz
SA	73537812238442356	648518346490026458	R	DMT_DMetaN	DMetaN	R	DMT		(44976, 75201, 1401)
SA	73608180982601499	648518346480549633	R	DMT_DMetaN	DMetaN	R	DMT		(45176, 75201, 1410)
SA	73537812238598352	648518346477746327	R	DMT_DMetaN	DMetaN	R	DMT		(45017, 75201, 1415)
SA	73537812305094807	648518346517424170	R	DMT_DMetaN	DMetaN	R	DMT		(44988, 75201, 1426)
SA	73537812305095273	648518346486012030	R	DMT_DMetaN	DMetaN	R	DMT		(44915, 75201, 1429)
SA	73537812305319997	648518346472487627	R	DMT_DMetaN	DMetaN	R	DMT		(44895, 75201, 1436)
SA	73608181049448443	648518346501229197	R	DMT_DMetaN	DMetaN	R	DMT		(45190, 75201, 1429)
SA	73608181049497156	648518346507528825	R	DMT_DMetaN	DMetaN	R	DMT		(46178, 75200, 1446)
SA	73608181049509659	648518346515711562	R	DMT_DMetaN	DMetaN	R	DMT		(46191, 75200, 1456)
SA	73608181049531940	648518346491561534	R	DMT_DMetaN	DMetaN	R	DMT		(46182, 75200, 1464)
SA	73608181049539522	648518346511890544	R	DMT_DMetaN	DMetaN	R	DMT		(46093, 75200, 1472)
SA	73608181049514467	648518346467012334	R	DMT_DMetaN	DMetaN	R	DMT		(46028, 75200, 1459)
SA	73608181049497149	648518346486536580	R	DMT_DMetaN	DMetaN	R	DMT		(46031, 75200, 1450)
SA	73608181049478936	648518346479752342	R	DMT_DMetaN	DMetaN	R	DMT		(45944, 75200, 1439)
SA	73608181049521655	648518346481605821	R	DMT_DMetaN	DMetaN	R	DMT		(45888, 75200, 1461)
SA	73608181049549635	648518346494877106	R	DMT_DMetaN	DMetaN	R	DMT		(45988, 75200, 1471)
SA	73608181049569623	648518346459866628	R	DMT_DMetaN	DMetaN	R	DMT		(45901, 75200, 1476)
SA	73608181049593441	648518346480845533	R	DMT_DMetaN	DMetaN	R	DMT		(46078, 75200, 1487)
SA	73608181049583087	648518346467012590	R	DMT_DMetaN	DMetaN	R	DMT		(46187, 75200, 1482)
SA	73608181049616500	648518346479282620	R	DMT_DMetaN	DMetaN	R	DMT		(46153, 75200, 1499)
SA	73608181049641879	648518346494508309	R	DMT_DMetaN	DMetaN	R	DMT		(46227, 75200, 1505)
SA	73608181049668353	648518346486290336	R	DMT_DMetaN	DMetaN	R	DMT		(46243, 75200, 1516)
SA	73608181049675538	648518346515717370	R	DMT_DMetaN	DMetaN	R	DMT		(46131, 75200, 1521)
SA	73608181049654936	648518346501910345	R	DMT_DMetaN	DMetaN	R	DMT		(46118, 75200, 1508)
SA	73608181049618944	648518346500370236	R	DMT_DMetaN	DMetaN	R	DMT		(46082, 75200, 1500)
SA	73608181049600868	648518346506680610	R	DMT_DMetaN	DMetaN	R	DMT		(46000, 75200, 1495)
SA	73608181049649622	648518346467012846	R	DMT_DMetaN	DMetaN	R	DMT		(46013, 75200, 1506)
SA	73608181049675580	648518346496799540	R	DMT_DMetaN	DMetaN	R	DMT		(45946, 75200, 1520)
SA	73608181049647022	648518346486842595	R	DMT_DMetaN	DMetaN	R	DMT		(45913, 75200, 1508)
SA	73608181049668352	648518346492406467	R	DMT_DMetaN	DMetaN	R	DMT		(45870, 75200, 1517)
SA	73608181049678008	648518346501228941	R	DMT_DMetaN	DMetaN	R	DMT		(45866, 75200, 1523)
SA	73608181049675602	648518346489507948	R	DMT_DMetaN	DMetaN	R	DMT		(45810, 75200, 1520)
