class	bodyid	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	serial	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	confidence_fanc_match_1_5
AN	10650	10650	M	AN00A002	AN00A002			T1	xn	00A	10273	gaba	0.9161657326	73467443829636932	648518346499332071	5
AN	11451	11451	M	AN00A006	AN00A006		dimorphic morphology	A3	ad	00A	11205	glutamate	0.9697889984	73397074884057924	648518346493958769	1
AN	12293	12293	M	AN00A006	AN00A006		dimorphic morphology	A4	ad	00A	11205	glutamate	0.9654177236	73397074884065022	648518346500632501	1
AN	13314	13314	M	AN00A006	AN00A006		dimorphic morphology	A1	xn	00A	11205	glutamate	0.8942508657	73397074884092897	648518346489883609	1
AN	11205	11205	M	AN00A006	AN00A006		dimorphic morphology	T3	xn	00A	11205	glutamate	0.9124250147	73397074884244182	648518346493850123	1
AN	11335	11335	M	AN00A006	AN00A006		dimorphic morphology	A2	xn	00A	11205	gaba	0.5992556016	73397074884050780	648518346517252932	1
AN	13171	13171	M	AN00A009	AN00A009			T1	fl	00A	11979	gaba	0.8246954741	73256337596959086	648518346507239240	5
AN	10518	10518	L	AN01A001	AN01A001			A1	hl	01A	10084	acetylcholine	0.9427244537	73608181183877776	648518346498529329	5
AN	10761	10518	R	AN01A001	AN01A001			A1	hl	01A	10084	acetylcholine	0.9455178568	73185968718599555	648518346475412065	5
AN	10905	10905	R	AN01A006	AN01A006			A2	xl	01A		acetylcholine	0.8912326514	73185968785905190	648518346518325334	1
AN	11336	10905	L	AN01A006	AN01A006		difference in number	A2	xl	01A		acetylcholine	0.8830309928			0
AN	10647	10647	R	AN01A014	AN01A014			T1	fl	01A		acetylcholine	0.8344099589	73256337261629861	648518346491824913	5
AN	11597	10647	L	AN01A014	AN01A014			T1	fl	01A		acetylcholine	0.888858566	73537812171105225	648518346484153629	5
AN	12563	12563	R	AN01A021	AN01A021			A2	xn	01A		acetylcholine	0.9425469552	73185968785903889	648518346502473555	1
AN	13052	12563	L	AN01A021	AN01A021		difference in number	A2	xn	01A		acetylcholine	0.8832308674			0
AN	14515	14515	R	AN01A033	AN01A033			T1	xn	01A		acetylcholine	0.9619593012	73467443762679962	648518346490143706	4
AN	15227	14515	L	AN01A033	AN01A033			T1	xn	01A		acetylcholine	0.9498235222	73397075018393401	648518346486915836	5
AN	16967	16967	L	AN01A049	AN01A049			T1	xn	01A		acetylcholine	0.9029080148	73326706140078420	648518346485650451	5
AN	17075	16967	R	AN01A049	AN01A049			T1	xn	01A		acetylcholine	0.879926402	73397074951126115	648518346487589011	5
AN	18797	18797	R	AN01A055	AN01A055			T1	XA	01A		glutamate	0.671905309	73397075085516241	648518346510126630	5
AN	22915	18797	R	AN01A055	AN01A055			T1	XA	01A		glutamate	0.7142962962	73397075085498821	648518346474308717	5
AN	19222	18797	L	AN01A055	AN01A055			T1	XA	01A				73326706341308688	648518346497288472	5
AN	28177	18797	L	AN01A055	AN01A055			T1	XA	01A		unknown	0.6197830662	73397075085491465	648518346498121114	5
AN	23616	23616	R	AN01A086	AN01A086			T1	XA	01A				73397075085488405	648518346483430564	5
AN	27059	23616	R	AN01A086	AN01A086			T1	XA	01A				73467443829571433	648518346494772402	1
AN	24406	23616	L	AN01A086	AN01A086			T1	XA	01A				73397075085494346	648518346492594361	5
AN	25656	23616	L	AN01A086	AN01A086			T1	XA	01A		gaba	0.4169216156	73397075085495810	648518346497646183	5
AN	10675	10675	L	AN01B002	AN01B002			A2	xn	01B	10675	gaba	0.8824603154	73185968785930031	648518346511359285	5
AN	11197	11197	L	AN01B002	AN01B002			A3	xn	01B	10675	gaba	0.8535889265	73185968785906403	648518346496259852	4
AN	11478	11478	L	AN01B002	AN01B002			A2	xl	01B	10675	gaba	0.8758688655	73185968785942689	648518346480012788	4
AN	10862	10675	R	AN01B002	AN01B002			A2	xn	01B	10675	gaba	0.8762118905	73537812573635020	648518346488589193	4
AN	12239	11478	R	AN01B002	AN01B002			A2	xl	01B	10675	gaba	0.8597274485	73537812573618718	648518346494621611	4
AN	15533	11197	R	AN01B002	AN01B002			A3	xn	01B	10675	gaba	0.8314359273	73537812573633866	648518346512518558	4
AN	101563	12866	L	AN01B004	AN01B004			T3	hl	01B	12577	acetylcholine	0.9324653688	73185968785906386	648518346480455126	5
AN	12866	12866	R	AN01B004	AN01B004			T3	hl	01B	12577	acetylcholine	0.9647219896	73537812573602629	648518346494090999	5
AN	12577	12577	L	AN01B004	AN01B004			T2	ml	01B	12577	acetylcholine	0.9646548755	73185968785919566	648518346499775043	5
AN	12600	12577	R	AN01B004	AN01B004			T2	ml	01B	12577	acetylcholine	0.9607079815	73537812573602602	648518346483798447	5
AN	12809	12809	L	AN01B004	AN01B004			T1	fl	01B	12577	acetylcholine	0.9477490352	73185968785876271	648518346493930744	5
AN	12940	12809	R	AN01B004	AN01B004			T1	fl	01B	12577	acetylcholine	0.9718941741	73537812573553075	648518346496387157	5
AN	12571	12448	L	AN01B005	AN01B005			T3	hl	01B	12448	gaba	0.8310494852	73256337463000797	648518346480098533	5
AN	12448	12448	R	AN01B005	AN01B005			T3	hl	01B	12448	gaba	0.8363357164	73537812439677021	648518346491169315	5
AN	12700	12700	L	AN01B005	AN01B005			T2	ml	01B	12448	gaba	0.8555438679	73185968718868098	648518346498427474	5
AN	13366	12700	R	AN01B005	AN01B005			T2	ml	01B	12448	gaba	0.8313490188	73537812439634921	648518346488788664	5
AN	13783	13758	L	AN01B005	AN01B005			T1	fl	01B	12448	gaba	0.8064449993	73256337462981355	648518346472685515	5
AN	13758	13758	R	AN01B005	AN01B005			T1	fl	01B	12448	gaba	0.8603050504	73537812439688489	648518346509671113	5
AN	79206	15699	L	AN01B011	AN01B011			T3	hl	01B	14128	gaba	0.7916038113	73185968718829499	648518346466137392	5
AN	15699	15699	R	AN01B011	AN01B011			T3	hl	01B	14128	gaba	0.8129180333	73537812506619650	648518346491241761	5
AN	14128	14128	L	AN01B011	AN01B011			T2	ml	01B	14128	gaba	0.8403597715	73185968718806826	648518346489882329	4
AN	15694	14128	R	AN01B011	AN01B011			T2	ml	01B	14128	gaba	0.8476696335	73537812506656845	648518346503213179	4
AN	26227	26227	L	AN01B011	AN01B011			T1	fl	01B	14128	gaba	0.7858796681	73185968718764916	648518346487557267	1
AN	156551	26227	R	AN01B011	AN01B011			T1	fl	01B	14128	gaba	0.748478463	73537812506679829	648518346488415672	5
AN	18326	18326	L	AN01B014	AN01B014			T1	fl	01B	14321	gaba	0.7842350878	73185968718850460	648518346467419399	5
AN	154469	18326	R	AN01B014	AN01B014			T1	fl	01B	14321	gaba	0.7647978884	73537812506674987	648518346486774989	5
AN	21487	19883	L	AN01B018	AN01B018			T1	fl	01B		gaba	0.6054207075	73326706341294809	648518346526408407	5
