class	cell_id	supervoxel_id	root_id	group	side	type	soma_division	manc_match_id	manc_predicted_nt	dimorphic	figure	name_in_figure
EA	13017	73328975023585836	648518346514279390	648518346513903385	R	EA06B010	T2	11300	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	EA06B010_f
EA	12997	73047362675057530	648518346513903385	648518346513903385	L	EA06B010	T2	11314	glutamate	dimorphic in connectivity	dimorphic DN figure, DNa12	EA06B010_f
MN	232	73960506142486084	648518346489813708	648518346477726990	R	Fe reductor MN	T1	11226		no	stereotypy	DNa02 circuit
MN	220	73890137666345774	648518346496027594	648518346477726990	R	Fe reductor MN	T1	18983		no	stereotypy	DNa02 circuit
MN	136	72553200112461877	648518346494195703	648518346477726990	L	Fe reductor MN	T1	21944		no	stereotypy	DNa02 circuit
MN	130	72482831435426686	648518346477726990	648518346477726990	L	Fe reductor MN	T1	156857		no	stereotypy	DNa02 circuit
MN	305	73961743830985902	648518346491708222	648518346491708222	R	hg1 MN	T2	10011	glutamate	no	dimorphic DN figure, DNa12	hg1 MN_f
MN	271	72484068587289193	648518346493247552	648518346491708222	L	hg1 MN	T2	10123	glutamate	no	dimorphic DN figure, DNa12	hg1 MN_f
IN	18703	73047087864185165	648518346492522879	648518346490590556	M	IN00A001	T2	10477	gaba	no	stereotypy	leg premotor circuit
IN	23713	73682398285935603	648518346490590556	648518346490590556	M	IN00A001	T3	10977	gaba	no	stereotypy	leg premotor circuit
IN	18741	72976719120046932	648518346509381498	648518346465288309	M	IN00A002	T2	10273	gaba	no	stereotypy	leg premotor circuit
IN	24281	73752904133150899	648518346465288309	648518346465288309	M	IN00A002	A1	10860	gaba	no	stereotypy	leg premotor circuit
IN	24643	73682604310075108	648518346507340616	648518346465288309	M	IN00A002	T3	14253	gaba	no	stereotypy	leg premotor circuit
IN	24216	73752904066137217	648518346494075127	648518346494075127	M	IN00A013	A2	15007	gaba	no	dimorphic DN figure, DNp13	IN00A013
IN	16115	73891031757943147	648518346501176732	648518346499996812	R	IN01A001	T2	10084	acetylcholine	no	stereotypy	leg premotor circuit
IN	16030	72413287660458106	648518346499996812	648518346499996812	L	IN01A001	T2	10152	acetylcholine	no	stereotypy	leg premotor circuit
IN	15050	73397762280106285	648518346489136106	648518346479196368	R	IN01A002	T1	10303	acetylcholine	no	stereotypy	leg premotor circuit
IN	15071	73327393535965657	648518346479196368	648518346479196368	L	IN01A002	T1	10328	acetylcholine	no	stereotypy	leg premotor circuit
IN	14972	73468062573329996	648518346486981857	648518346480316886	R	IN01A007	T1	10039	acetylcholine	no	stereotypy	leg premotor circuit
IN	16829	72624530660857235	648518346493928184	648518346480316886	L	IN01A007	T2	10569	acetylcholine	no	stereotypy	leg premotor circuit
IN	15038	73186656316143543	648518346480316886	648518346480316886	L	IN01A007	T1	10665	acetylcholine	no	stereotypy	leg premotor circuit
IN	16759	73891168257440532	648518346503109875	648518346480316886	R	IN01A007	T2	11091	acetylcholine	no	stereotypy	leg premotor circuit
IN	16576	72554093197131982	648518346520789558	648518346478938708	L	IN01A009	T2	10600	acetylcholine	no	stereotypy	leg premotor circuit
IN	16841	73961536934449611	648518346509000767	648518346478938708	R	IN01A009	T2	11079	acetylcholine	no	stereotypy	leg premotor circuit
IN	14823	73467993719746224	648518346478938708	648518346478938708	R	IN01A009	T1	11258	acetylcholine	no	stereotypy	leg premotor circuit
IN	14921	73186587328141907	648518346486205538	648518346478938708	L	IN01A009	T1	12815	acetylcholine	no	stereotypy	leg premotor circuit
IN	17016	72624530526456690	648518346510209318	648518346490292251	L	IN01A010	T2	10984	acetylcholine	no	stereotypy	leg premotor circuit
IN	14998	73256956072243660	648518346490339932	648518346490292251	L	IN01A010	T1	11062	acetylcholine	no	stereotypy	leg premotor circuit
IN	14779	73467993786826334	648518346490292251	648518346490292251	R	IN01A010	T1	11165	acetylcholine	no	stereotypy	leg premotor circuit
IN	16315	73961468282161927	648518346500577852	648518346490292251	R	IN01A010	T2	12307	acetylcholine	no	stereotypy	leg premotor circuit
IN	15019	73116218718145276	648518346512052848	648518346489014001	L	IN01A011	T1	10789	acetylcholine	no	stereotypy	leg premotor circuit
IN	14880	73397693896331438	648518346489014001	648518346489014001	R	IN01A011	T1	10792	acetylcholine	no	stereotypy	leg premotor circuit
IN	16861	72624530593475414	648518346496530807	648518346489014001	L	IN01A011	T2	10935	acetylcholine	no	stereotypy	leg premotor circuit
IN	16517	73891099470914194	648518346498356890	648518346489014001	R	IN01A011	T2	11108	acetylcholine	no	stereotypy	leg premotor circuit
IN	16863	74031905678725627	648518346490884605	648518346480100340	R	IN01A015	T2	11191	acetylcholine	no	stereotypy	leg premotor circuit
IN	16969	72554161782442312	648518346480100340	648518346480100340	L	IN01A015	T2	11288	acetylcholine	no	stereotypy	leg premotor circuit
IN	21314	73048048863176463	648518346494817813	648518346480100340	L	IN01A015	T3	11704	acetylcholine	no	stereotypy	leg premotor circuit
IN	14566	73467925067335295	648518346486131838	648518346480100340	R	IN01A015	T1	11955	acetylcholine	no	stereotypy	leg premotor circuit
IN	15066	73186656047791079	648518346490136072	648518346480100340	L	IN01A015	T1	11976	acetylcholine	no	stereotypy	leg premotor circuit
IN	20808	73751667652570216	648518346487897410	648518346480100340	R	IN01A015	T3	14767	acetylcholine	no	stereotypy	leg premotor circuit
IN	15142	73327462255653304	648518346500520764	648518346486107262	L	IN01A018	T1	11688	acetylcholine	no	stereotypy	leg premotor circuit
IN	14357	73467856146524077	648518346486107262	648518346486107262	R	IN01A018	T1	24896	acetylcholine	no	stereotypy	leg premotor circuit
IN	16421	74102205703413795	648518346492848059	648518346467321607	R	IN01A038	T2	102601	acetylcholine	no	stereotypy	leg premotor circuit
IN	20331	72695998581187028	648518346506760738	648518346467321607	L	IN01A038	T3	13833	acetylcholine	no	stereotypy	leg premotor circuit
IN	16186	74242943393027316	648518346517791592	648518346467321607	R	IN01A038	T2	14154	acetylcholine	no	stereotypy	leg premotor circuit
IN	16870	72413424025677791	648518346496204300	648518346467321607	L	IN01A038	T2	14176	acetylcholine	no	stereotypy	leg premotor circuit
IN	21020	72766504696864396	648518346482808229	648518346467321607	L	IN01A038	T3	15467	acetylcholine	no	stereotypy	leg premotor circuit
IN	14553	73467924798893553	648518346493782897	648518346467321607	R	IN01A038	T1	15542	acetylcholine	no	stereotypy	leg premotor circuit
IN	20362	73821898152507268	648518346467321607	648518346467321607	R	IN01A038	T3	15758	acetylcholine	no	stereotypy	leg premotor circuit
IN	14324	73186381102649828	648518346509445763	648518346467321607	L	IN01A038	T1	15881	acetylcholine	no	stereotypy	leg premotor circuit
IN	14518	73327187310505833	648518346488876216	648518346467321607	L	IN01A038	T1	17161	acetylcholine	no	stereotypy	leg premotor circuit
IN	20323	74033004586220048	648518346504223182	648518346467321607	R	IN01A038	T3	17473	acetylcholine	no	stereotypy	leg premotor circuit
IN	15096	73397762213199871	648518346524351493	648518346467321607	R	IN01A038	T1	18132	acetylcholine	no	stereotypy	leg premotor circuit
IN	17210	72483861556502199	648518346486992636	648518346467321607	L	IN01A038	T2	22813	acetylcholine	no	stereotypy	leg premotor circuit
IN	18042	73187687578017266	648518346486710916	648518346480714973	L	IN02A003	T2	10193	glutamate	no	stereotypy	leg premotor circuit
IN	18789	73258262547834617	648518346492933040	648518346480714973	R	IN02A003	T2	10209	glutamate	no	stereotypy	leg premotor circuit
IN	22286	73611617627454390	648518346485722899	648518346480714973	L	IN02A003	T3	10337	glutamate	no	stereotypy	leg premotor circuit
IN	21928	73611342682441623	648518346480714973	648518346480714973	R	IN02A003	T3	10421	glutamate	no	stereotypy	leg premotor circuit
IN	23624	74174978890993104	648518346518995423	648518346472748297	R	IN03A001	T3	10262	acetylcholine	no	stereotypy	leg premotor circuit
IN	21322	72977680320244173	648518346472748297	648518346472748297	L	IN03A001	T2	10362	acetylcholine	no	stereotypy	leg premotor circuit
IN	24835	73119654155221920	648518346499999116	648518346472748297	L	IN03A001	T3	10388	acetylcholine	no	stereotypy	leg premotor circuit
IN	20198	73399686962448532	648518346502596934	648518346472748297	R	IN03A001	T2	10412	acetylcholine	no	stereotypy	leg premotor circuit
IN	16668	72413424898185867	648518346501071209	648518346472363467	L	IN03A004	T1	10827	acetylcholine	no	stereotypy	leg premotor circuit
IN	23668	74174978756700021	648518346491815791	648518346472363467	R	IN03A004	T3	10870	acetylcholine	no	stereotypy	leg premotor circuit
IN	16215	73891100343388481	648518346481212506	648518346472363467	R	IN03A004	T1	11831	acetylcholine	no	stereotypy	leg premotor circuit
IN	19703	72695792221346706	648518346472363467	648518346472363467	L	IN03A004	T2	157964	acetylcholine	no	stereotypy	leg premotor circuit
IN	24901	73049285343976835	648518346479453138	648518346472363467	L	IN03A004	T3	20948	acetylcholine	no	stereotypy	leg premotor circuit
IN	17361	72343124940435556	648518346491067565	648518346466992238	L	IN03A007	T1	11320	acetylcholine	no	stereotypy	leg premotor circuit
IN	25483	72838316617340369	648518346495045291	648518346466992238	L	IN03A007	T3	11599	acetylcholine	no	stereotypy	leg premotor circuit
IN	24709	74386291214773845	648518346466992238	648518346466992238	R	IN03A007	T3	11635	acetylcholine	no	stereotypy	leg premotor circuit
IN	17279	74102343813436774	648518346496866940	648518346466992238	R	IN03A007	T1	11734	acetylcholine	no	stereotypy	leg premotor circuit
IN	16399	72413356514221852	648518346487082393	648518346486813999	L	IN03A009	T1	11788	acetylcholine	no	stereotypy	leg premotor circuit
IN	16072	73820663013632267	648518346495311439	648518346486813999	R	IN03A009	T1	12276	acetylcholine	no	stereotypy	leg premotor circuit
IN	20575	73610862384174724	648518346486813999	648518346486813999	R	IN03A009	T2	12508	acetylcholine	no	stereotypy	leg premotor circuit
IN	20417	73047842704891199	648518346515163207	648518346486813999	L	IN03A009	T2	12740	acetylcholine	no	stereotypy	leg premotor circuit
IN	16280	72483724855574889	648518346503299451	648518346466992494	L	IN03A010	T1	100492	acetylcholine	no	stereotypy	leg premotor circuit
IN	16655	73961537873997182	648518346495874250	648518346466992494	R	IN03A010	T1	12050	acetylcholine	no	stereotypy	leg premotor circuit
IN	20634	73047911424216627	648518346466992494	648518346466992494	L	IN03A010	T2	12160	acetylcholine	no	stereotypy	leg premotor circuit
IN	25369	73119791460065919	648518346479971990	648518346466992494	L	IN03A010	T3	12605	acetylcholine	no	stereotypy	leg premotor circuit
IN	26524	73891993025391907	648518346500127043	648518346466992494	R	IN03A010	T2	12769	acetylcholine	no	stereotypy	leg premotor circuit
IN	23517	74174978756963081	648518346483915413	648518346466992494	R	IN03A010	T3	13908	acetylcholine	no	stereotypy	leg premotor circuit
IN	16588	74172643636908904	648518346479401152	648518346479401152	L	IN03A066	T1	13884	acetylcholine	no	stereotypy	DNa02 circuit
IN	17140	74172712221996756	648518346494686197	648518346479401152	L	IN03A066	T1	14567	acetylcholine	no	stereotypy	DNa02 circuit
IN	17415	72272755793804812	648518346487694506	648518346479401152	R	IN03A066	T1	16079	acetylcholine	no	stereotypy	DNa02 circuit
IN	17129	72272755995040812	648518346488633481	648518346479401152	R	IN03A066	T1	17546	acetylcholine	no	stereotypy	DNa02 circuit
IN	16473	74172574849915484	648518346500268604	648518346479401152	L	IN03A066	T1	18860	acetylcholine	no	stereotypy	DNa02 circuit
IN	17090	72343055885591578	648518346488900877	648518346479401152	R	IN03A066	T1	19056	acetylcholine	no	stereotypy	DNa02 circuit
