xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract_from_manc	soma_location	predicted_nt	predicted_nt_prob	predicted_nt_new	hemibrain_type	hemilineage
(131243, 76538, 5798)	131243	76538	5798	79662160791456382	720575940623758377	L		AN	AN_multi_125			DA	0.46	unk		
(124890, 80151, 5798)	124890	80151	5798	79240154484803233	720575940632001640	L		AN	AN_GNG_12			GABA	0.47	unk		
(129614, 84173, 5799)	129614	84173	5799	79521904339411713	720575940647036724	L		AN	AN_GNG_111			SER	0.83	other		
(129491, 73011, 5791)	129491	73011	5791	79521148424950662	720575940632381970	L		AN	GNG_unmatched			ACH	0.84	ACH		
(127970, 83326, 5798)	127970	83326	5798	79451466875754027	720575940632118479	L		AN	AN_AVLP_44			ACH	0.96	ACH		
(131720, 76314, 5798)	131720	76314	5798	79662092071985734	720575940629591793	L		AN	AN_multi_125			DA	0.46	unk		
(128847, 83742, 5798)	128847	83742	5798	79451535595226931	720575940627360774	L		AN	AN_AVLP_13			ACH	0.9	ACH		
(127568, 83349, 5799)	127568	83349	5799	79381098131580372	720575940616553300	L		AN	AN_AVLP_GNG_4			ACH	0.8	ACH		
(131246, 78543, 5391)	131246	78543	5391	79662298163420445	720575940627490065	L		AN	AN_SMP_1			SER	0.58	unk		
(130512, 79802, 5798)	130512	79802	5798	79591998205710926	720575940617757269	L		AN	GNG_unmatched				0	unk		
(131679, 78189, 5798)	131679	78189	5798	79662229510938703	720575940604705481	L		AN	AN_GNG_204				0	unk		
(128077, 77834, 5798)	128077	77834	5798	79451123278386509	720575940633426168	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127582, 80752, 5798)	127582	80752	5798	79380960692630393	720575940638128198	L		SA	SA_DMT_ADMN_7	DMT			0	unk		
(128268, 80827, 5798)	128268	80827	5798	79451329436822286	720575940615810717	L		SA	SA_DMT_ADMN_7	DMT			0	unk		
(125589, 76710, 5798)	125589	76710	5798	79239948326386940	720575940624245176	L		AN	AN_IPS_GNG_unmatched				0	unk		
(124308, 79468, 5798)	124308	79468	5798	79169717021137038	720575940636821616	L		AN	AN_multi_105			ACH	0.94	ACH	hb-706176085	
(131440, 85917, 5637)	131440	85917	5637	79662779200068148	720575940639264590	L		AN	AN_SLP_AVLP_1				0	unk		
(129554, 74525, 5798)	129554	74525	5798	79521285864136369	720575940620896525	L		AN	GNG_unmatched			GLUT	0.42	unk		
(128940, 74949, 5798)	128940	74949	5798	79450917119963614	720575940645264260	L		AN	AN_GNG_124				0	unk		
(126481, 74033, 5798)	126481	74033	5798	79310110912034764	720575940621949675	L		AN	AN_GNG_124				0	unk		
(128650, 78552, 5798)	128650	78552	5798	79451191997867495	720575940615346617	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(131796, 78021, 5798)	131796	78021	5798	79662229510926319	720575940620262621	L		AN	AN_GNG_204				0	unk		
(128250, 80947, 5798)	128250	80947	5798	79451329436813182	720575940617567691	L		SA	SA_DMT_ADMN_1	DMT			0	unk		
(126279, 78478, 5798)	126279	78478	5798	79310454509494002	720575940614001595	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125913, 74008, 5794)	125913	74008	5794	79310110912033279	720575940620551046	L		AN	AN_GNG_124				0	unk		
(126914, 79255, 5798)	126914	79255	5798	79380823253684958	720575940614957115	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127189, 78458, 5797)	127189	78458	5797	79380754534197860	720575940642624292	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126851, 76288, 5798)	126851	76288	5798	79310248351071196	720575940625652879	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125613, 80241, 5798)	125613	80241	5798	79240154484804329	720575940626901521	L		AN	AN_GNG_SAD_23			ACH	0.92	ACH		
(124799, 74609, 5798)	124799	74609	5798	79169442143216318	720575940619423216	L		AN	GNG_unmatched				0	unk		
(125740, 76578, 5798)	125740	76578	5798	79239948326375882	720575940629486714	L		AN	AN_multi_11			GABA	0.46	unk		
(126113, 79622, 5798)	126113	79622	5798	79310523228977137	720575940632460951	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129503, 83553, 5798)	129503	83553	5798	79521835619942647	720575940626180638	L		AN	AN_GNG_SAD_6			GABA	0.68	GABA		
(131727, 76406, 5798)	131727	76406	5798	79662092071980403	720575940628644239	L		AN	AN_multi_124			OCT	0.45	unk		
(131851, 76524, 5798)	131851	76524	5798	79662160791458657	720575940619985089	L		AN	AN_multi_124				0	unk		
(131309, 81806, 5798)	131309	81806	5798	79662504388833859	720575940626216720	L		AN	GNG_unmatched				0	unk		
(131593, 79354, 5798)	131593	79354	5798	79662298230403945	720575940636805958	L		AN	AN_multi_80			ACH	0.65	ACH		
