xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(40903, 75200, 1223)	40903	75200	1223	73397074682585084	648518346509725129	R	R	AN	AN19A018	
(41010, 75200, 1212)	41010	75200	1212	73467443426961787	648518346475465856	R		AN	ANXXX979	
(41175, 75200, 1212)	41175	75200	1212	73467443426961781	648518346500764083	R		other		
(41229, 75200, 1226)	41229	75200	1226	73467443426992854	648518346494150688	R	R	AN	AN19A018	
(41039, 75200, 1225)	41039	75200	1225	73467443426989780	648518346493808014	R		AN	ANXXX978	
(41197, 75200, 1238)	41197	75200	1238	73467443427027395	648518346488647049	R	L	AN	AN02A046	
(41081, 75200, 1245)	41081	75200	1245	73467443427037784	648518346504084064	R	R	AN	AN02A025	
(41194, 75200, 1256)	41194	75200	1256	73467443427069816	648518346489729631	R	L	AN	AN18B003	
(41023, 75200, 1263)	41023	75200	1263	73467443427057782	648518346484040743	R		DN	DNp57	MTD-I
(40645, 75200, 1261)	40645	75200	1261	73397074682672801	648518346496114790	R	R	AN	AN09A005	
(40387, 75200, 1266)	40387	75200	1266	73397074682677794	648518346491932783	R	L	AN	AN27X013	
(40506, 75200, 1263)	40506	75200	1263	73397074682683042	648518346488602381	R		DN	DNit992	MDA
(40293, 75200, 1295)	40293	75200	1295	73397074749635204	648518346512482718	R	L	AN	AN09A005	
(40532, 75200, 1285)	40532	75200	1285	73397074682722305	648518346500992278	R		DN	DNg33	MDA
(40587, 75200, 1308)	40587	75200	1308	73397074749806388	648518346498450993	R	R	AN	AN27X013	
(40674, 75200, 1289)	40674	75200	1289	73397074682833924	648518346518524895	R		DN	DNg33	MDA
(40974, 75200, 1287)	40974	75200	1287	73467443427223342	648518346491010083	R	R	AN	AN09A005	
(40842, 75200, 1304)	40842	75200	1304	73397074749803928	648518346481371329	R		DN	DNg55	MDA
(41007, 75200, 1314)	41007	75200	1314	73467443494014463	648518346498421586	R	L	AN	AN18B001	
(41184, 75200, 1301)	41184	75200	1301	73467443493978756	648518346496198519	R		DN	DNxn172	MDA
(41217, 75200, 1280)	41217	75200	1280	73467443427254162	648518346481250703	R		DN	MDN	MTD-I
(41339, 75200, 1258)	41339	75200	1258	73467443427082437	648518346480534331	R		DN	DNp13	MTD-I
(40829, 75200, 1318)	40829	75200	1318	73397074749835452	648518346515288135	R		DN	DNit999	MDA
(40790, 75200, 1323)	40790	75200	1323	73397074749856821	648518346500024019	R	R	AN	EA27X006	
(41255, 75200, 1363)	41255	75200	1363	73467443494121411	648518346501195096	R		DN	MDN	MTD-I
(42172, 75200, 1399)	42172	75200	1399	73467443494219130	648518346487752404	R		DN	DNp01	none
(41262, 75200, 1390)	41262	75200	1390	73467443494183746	648518346502600615	R		DN	DNp30	MTD-I
(41297, 75200, 1408)	41297	75200	1408	73467443494422214	648518346501086093	R		DN	DNxn156	MDA
(41233, 75200, 1423)	41233	75200	1423	73467443560933155	648518346481531039	R		DN	DNxn158	MDA
(41772, 75200, 1209)	41772	75200	1209	73467443426981315	648518346490257435	R	R	AN	AN02A002	
(41607, 75200, 1222)	41607	75200	1222	73467443426989803	648518346492606403	R	L	AN	AN14B012	
(41665, 75200, 1235)	41665	75200	1235	73467443426998428	648518346464968565	R		DN	DNb01	MTD-I
(41497, 75200, 1249)	41497	75200	1249	73467443427046063	648518346500363480	R	R	AN	AN19A018	
(41501, 75200, 1184)	41501	75200	1184	73467443426890583	648518346479175612	R		DN	DNg96	MTD-I
(41659, 75200, 1174)	41659	75200	1174	73467443426858440	648518346487278739	R		DN	DNxn073	none
(41714, 75200, 1180)	41714	75200	1180	73467443426868717	648518346483950365	R	R	AN	ANXXX993	
(41782, 75200, 1153)	41782	75200	1153	73467443359625751	648518346500016451	R	L	AN	AN18B004	
(41975, 75200, 1146)	41975	75200	1146	73467443359583822	648518346495288399	R		DN	DNa05	MTD-I
(42030, 75200, 1179)	42030	75200	1179	73467443426863610	648518346467401991	R	L	AN	AN18B999	
(42253, 75200, 1168)	42253	75200	1168	73467443426702730	648518346499774019	R		DN	DNfl035	none
(42250, 75200, 1151)	42250	75200	1151	73467443359579720	648518346498258770	R		DN	DNa10	MTD-II
(42537, 75200, 1178)	42537	75200	1178	73467443426863617	648518346515100487	R		DN	DNut060	MTD-I
(42424, 75200, 1188)	42424	75200	1188	73467443426904769	648518346507123743	R		DN	DNp05	MTD-I
(42198, 75200, 1197)	42198	75200	1197	73467443426907114	648518346501200472	R		DN	DNxn009	MTD-I
(42376, 75200, 1215)	42376	75200	1215	73467443426978684	648518346511814079	R		DN	DNp26	MTD-I
(42247, 75200, 1225)	42247	75200	1225	73467443426992788	648518346494725795	R		DN	DNxn118	MTD-I
(42150, 75200, 1223)	42150	75200	1223	73467443426989741	648518346486616781	R		DN	DNa08	MTD-II
(41998, 75200, 1232)	41998	75200	1232	73467443426992764	648518346489036045	R	L	AN	AN18B022	
(42198, 75200, 1238)	42198	75200	1238	73467443427008502	648518346476796176	R		DN	DNxn122	MTD-I
(42424, 75200, 1232)	42424	75200	1232	73467443427006068	648518346492123275	R	L	AN	AN18B053	
(42731, 75200, 1245)	42731	75200	1245	73467443427032419	648518346509018234	R		DN	DNut037	MTD-I
(42650, 75200, 1266)	42650	75200	1266	73467443427085036	648518346486152352	R		DN	DNa07	MTD-I
(42612, 75200, 1245)	42612	75200	1245	73467443427043475	648518346493797774	R		DN	DNxn143	MTD-III
(42612, 75200, 1285)	42612	75200	1285	73467443427137135	648518346484445699	R		DN	DNxl021	MTD-III
(42744, 75200, 1296)	42744	75200	1296	73467443493870817	648518346504004046	R	L	AN	AN18B053	
(42909, 75200, 1278)	42909	75200	1278	73467443427127082	648518346494428648	R	L	AN	AN18B032	
(42967, 75200, 1255)	42967	75200	1255	73467443427032331	648518346499232094	R		DN	DNxn010	MTD-I
(42780, 75200, 1231)	42780	75200	1231	73467443427020181	648518346477672087	R		DN	DNa09	MTD-I
(42935, 75200, 1228)	42935	75200	1228	73467443427003665	648518346513890841	R		DN	DNxn125	MTD-I
(43019, 75200, 1218)	43019	75200	1218	73537812171128049	648518346474401218	R		DN	DNut043	MTD-II
(43054, 75200, 1205)	43054	75200	1205	73537812171095531	648518346517612904	R		DN	DNg06	MTD-II
(42986, 75200, 1159)	42986	75200	1159	73467443359761512	648518346470309374	R		DN	DNp31	MTD-II
(42989, 75200, 1186)	42989	75200	1186	73467443426890609	648518346500219708	R		DN	DNut053	MTD-II
(43080, 75200, 1195)	43080	75200	1195	73537812171086467	648518346491896850	R		DN	DNg06	MTD-II
(43287, 75200, 1228)	43287	75200	1228	73537812171161138	648518346491960364	R		DN	DNp28	MTD-I
(43216, 75200, 1242)	43216	75200	1242	73537812171192843	648518346496066935	R	L	AN	AN19B101	
(43274, 75200, 1252)	43274	75200	1252	73537812171207731	648518346495569003	R		DN	DNb04	MTD-I
(43180, 75200, 1261)	43180	75200	1261	73537812171247988	648518346515857994	R	L	AN	AN06A015	
(43299, 75200, 1267)	43299	75200	1267	73537812171253417	648518346493059648	R		DN	DNp51	MTD-I
(43548, 75200, 1263)	43548	75200	1263	73537812171247980	648518346502329255	R		DN	DNxn174	MTD-I
(43529, 75200, 1281)	43529	75200	1281	73537812171292198	648518346494730667	R		DN	DNxn136	MTD-I
(43196, 75200, 1289)	43196	75200	1289	73537812171329188	648518346476882120	R		DN	DNxn142	MTD-I
(42938, 75200, 1311)	42938	75200	1311	73467443494025226	648518346494625781	R		DN	DNp03	MTD-I
(42715, 75200, 1307)	42715	75200	1307	73467443493978535	648518346478550868	R		DN	DNxn153	MTD-I
(42767, 75200, 1325)	42767	75200	1325	73467443494030107	648518346479279058	R		DN	DNa03	MTD-I
(42938, 75200, 1346)	42938	75200	1346	73467443494094767	648518346490843309	R		DN	DNg42	MTD-I
(42834, 75200, 1366)	42834	75200	1366	73467443494130882	648518346488820970	R		DN	DNa01	MTD-III
(43309, 75200, 1367)	43309	75200	1367	73537812238306208	648518346515455226	R		DN	DNg99	MTD-I
(43270, 75200, 1323)	43270	75200	1323	73537812238239901	648518346496964012	R		DN	DNxn102	MTD-I
(43784, 75200, 1349)	43784	75200	1349	73537812238286125	648518346493807758	R		DN	DNp18	MTD-I
(43813, 75200, 1267)	43813	75200	1267	73537812171264215	648518346501660489	R		DN	DNp11	MTD-I
(42986, 75200, 1402)	42986	75200	1402	73467443494185945	648518346494703267	R		DN	DNa04	MTD-I
(43816, 75200, 1416)	43816	75200	1416	73537812238512257	648518346498307860	R		DN	DNp19	MTD-I
(42659, 75200, 1303)	42659	75200	1303	73467443493982983	648518346478758996	R	L	doubleseed		
(40840, 75200, 1249)	40840	75200	1249	73397074682633558	648518346484714755	R	R	AN	ANXXX019	
(43216, 75200, 1144)	43216	75200	1144	73537812103752723	648518346491431486	R		DN	DNg01	MTD-II
(43332, 75200, 1133)	43332	75200	1133	73537812103728121	648518346489501711	R		DN	DNlt009	MTD-II
(43363, 75200, 1123)	43363	75200	1123	73537812103719320	648518346502298535	R		DN	DNg03	MTD-II
(43434, 75200, 1126)	43434	75200	1126	73537812103726810	648518346485335315	R		DN	DNg03	MTD-II
(43454, 75200, 1133)	43454	75200	1133	73537812103730867	648518346482762982	R		DN	DNg01	MTD-II
(43456, 75200, 1145)	43456	75200	1145	73537812103743988	648518346487792464	R		DN	DNg03	MTD-II
(43358, 75200, 1150)	43358	75200	1150	73537812103759226	648518346499690892	R		DN	DNg02	MTD-II
(43285, 75200, 1144)	43285	75200	1144	73537812103754850	648518346496734253	R		DN	DNg02	MTD-II
(43256, 75200, 1151)	43256	75200	1151	73537812103772985	648518346510931842	R		DN	DNg05	MTD-II
(43294, 75200, 1159)	43294	75200	1159	73537812103789985	648518346480845056	R		DN	DNg02	MTD-II
(43383, 75200, 1157)	43383	75200	1157	73537812103776969	648518346487354026	R		DN	DNg02	MTD-II
