dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNa01	SS00731-20140620_20_C5-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140620_20_C5					
DNa02	SS00730-20140624_33_B1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140624_33_B1					
DNa03	SS02536-20141125_19_C5-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141125_19_C5	neuron in left hemisphere, red channel				
DNa04	R28A08-20181221_69_A1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181221_69_A1					
DNa05	SS02536-20141216_32_G1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_32_G1					
DNa06	SS02545-20150121_19_B6-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150121_19_B6					
DNa07	R87B09-20190423_63_D1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190423_63_D1					
DNa08	R80H02-20190604_62_H2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190604_62_H2					
DNa09	SS02545-20150121_19_B5-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150121_19_B5					
DNa10	SS01070-20140623_33_D1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_33_D1					
DNa11	R22G01-20181211_62_D2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181211_62_D2	neuron in left hemisphere, red channel				
DNa12	VT043669-20191115_65_K4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191115_65_K4		FBbt_00051201	aSP22		
DNa13	SS63715-20200814_32_B3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20200814_32_B3					
DNa14	SS66762-20190628_46_F5-f	not online	(not online)				
DNa15	R33A01-20190115_61_D3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190115_61_D3	blue channel neuron				
DNa16	R41E03-20191008_62_B3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191008_62_B3	red channel neuron				
DNb01	SS02383-20141216_31_E3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_31_E3					
DNb02	R21F05-20181113_63_D4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181113_63_D4					
DNb03	SS02552-20150408_31_G2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150408_31_G2					
DNb04	R10E06-20181221_63_B1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181221_63_B1					
DNb05	SS01051-20140819_33_A3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140819_33_A3		FBbt_00047586, FBbt_00047932, FBbt_00111492, FBbt_00003996	thoracic relay interneuron, AMMC-Di7	https://link.springer.com/article/10.1007/BF00327741, https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNb06	SS02631-20150218_33_D3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_33_D3					
DNb07	R70C07-20190402_62_C1	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190402_62_C1					
DNb08	R87A10-20181102_62_J3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181102_62_J3					
DNb09	SS02542-20141231_33_C2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141231_33_C2	used to be DNb01 from Namiki et al., 2018 but type was redifined in Cheong, Eichler, Stürner et al., 2024			https://doi.org/10.7554/eLife.34272, note that DNb01 described in this paper constists of two types we named the type in line SS02542 DNb09	
DNc01	SS04161-20151028_31_E1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20151028_31_E1					
DNc02	SS02395-20150407_32_F2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150407_32_F2					
DNd01	SS01048-20140623_31_C3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_31_C3					not found, profile potentially runs outside the neuropil in the neck
DNd02	R16F08-20181127_64_A1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181127_64_A1	red channel neuron	FBbt_00047591, FBbt_00110165	OA-VL1	https://doi.org/10.1002/cne.21966	
DNd03	R16F08-20181127_64_A1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181127_64_A1	green channel neurons	FBbt_00047592, FBbt_00110166	OA-VL2	https://doi.org/10.1002/cne.21966	
DNd04	R15E10 - 20190123_62_A3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190123_62_A3	blue channel neuron				
DNd05	R11D02-20180828_62_J3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180828_62_J3					
DNg01	SS02275-20141209_32_B4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_32_B4					
DNg02	SS02625-20150407_32_A3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150407_32_A3					
DNg03	SS02633-20150218_32_F1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_32_F1					
DNg04	R31E06-20190723_65_H1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190723_65_H1					
DNg05	VT049125-20170922_65_E3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170922_65_E3	green channel right hemisphere	FBbt_00051904, FBbt_00047597	knees	https://elifesciences.org/articles/71679	
DNg06	SS02260_20141209_31_I1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_I1					
DNg07	SS02554-20150218_31_G1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_31_G1		FBbt_00047599, FBbt_00110631	AMMC-VNC PN, aPN(desc) neuron	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa , https://doi.org/10.1016/j.cub.2014.03.048	
DNg08	SS52444_20180928_22_B3-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20180928_22_B3					
DNg09	R28E01-20191213_61_F1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191213_61_F1					
DNg10	SS02111-20141209_31_F1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_F1					
DNg11	SS02555-20150218_31_H3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_31_H3					
DNg12	R24D12-20180921_65_J3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180921_65_J3					
DNg13	SS01567-20140815_32_H4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140815_32_H4					
DNg14	SS01069-20140623_33_C2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_33_C2					
DNg15	SS02377-20141216_31_C3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_31_C3		FBbt_00051918, FBbt_00047607, FBbt_00111500	AMMC-Db5, nagini	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa , https://elifesciences.org/articles/71679	
DNg16	R22B10-20150625_19_F5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150625_19_F5					
DNg17	SS00898-20141209_31_B2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_B2					
DNg18	R14A06-20181121_66_E2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181121_66_E2					
DNg19	R22B10-20150625_19_F6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150625_19_F6					
DNg20	VT007182-20150220_19_A2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150220_19_A2					
