class	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	manc_match_id	manc_group	confidence_manc_match_1_5	subclass_MANC
DN	73537812439483533	648518346512050990	73537812439483533	R	aSP22	DNxn004			DMT	a	brain	xn	11327	11071	4	xn
DN	73256337395807047	648518346494232199	73537812439483533	L	aSP22	DNxn004			DMT	a	brain	xn	11071	11071	4	xn
DN	73467443494130882	648518346488820970	73326706072901182	R	DNa01	DNxl001			MTD-III	a	brain	xl	10751	10751	5	xl
DN	73326706072901182	648518346475464576	73326706072901182	L	DNa01	DNxl001			MTD-III	a	brain	xl	10760	10751	5	xl
DN	73608180982162606	648518346492614075	73608180982162606	R	DNa02	DNxl002			ITD	a	brain	xl	10118	10118	5	xl
DN	73185968584372728	648518346478550356	73608180982162606	L	DNa02	DNxl002			ITD	a	brain	xl	10126	10118	5	xl
DN	73467443494030107	648518346479279058	73467443494030107	R	DNa03	DNit001			MTD-I	a	brain	it	26462	25683	5	it
DN	73326706072908255	648518346474413250	73467443494030107	L	DNa03	DNit001			MTD-I	a	brain	xn	25683	25683	5	it
DN	73467443494185945	648518346494703267	73467443494185945	R	DNa04	DNut001			MTD-I	a	brain	ut	11123	11123	5	ut
DN	73256337194179847	648518346490530045	73467443494185945	L	DNa04	DNut001			MTD-I	a	brain	ut	11216	11123	5	ut
DN	73326706005766997	648518346489897499	73326706005766997	L	DNa05	DNut002			MTD-I	a	brain	ut	12275	12275	5	ut
DN	73467443359583822	648518346495288399	73326706005766997	R	DNa05	DNut002			MTD-I	a	brain	ut	12319	12275	5	ut
DN	73608181049516861	648518346479175868	73185968584350030	R	DNa06	DNxn001			ITD	a	brain	xn	15344	14931	4	xn
DN	73185968584350030	648518346493903392	73185968584350030	L	DNa06	DNxn001			ITD	a	brain	xn	14931	14931	4	xn
DN	73467443427085036	648518346486152352	73467443427085036	R	DNa07	DNut003			MTD-I	a	brain	ut	25786	25786	5	ut
DN	73326706072774488	648518346493068352	73467443427085036	L	DNa07	DNut003			MTD-I	a	brain	ut	25931	25786	5	ut
DN	73467443426989741	648518346486616781	73467443426989741	R	DNa08	DNwt001			MTD-II	a	brain	ut	15855	15855	4	wt
DN	73326705938368737	648518346518572767	73467443426989741	L	DNa08	DNwt001			MTD-II	a	brain	wt	163893	15855	4	wt
DN	73467443427020181	648518346477672087	73467443427020181	R	DNa09	DNxn002			MTD-I	a	brain	xn	12406	12259	5	xn
DN	73256337261522049	648518346481212815	73467443427020181	L	DNa09	DNxn002			MTD-I	a	brain	xn	12259	12259	5	xn
DN	73467443359579720	648518346498258770	73467443359579720	R	DNa10	DNxn003			MTD-II	a	brain	xn	10531	10506	5	xn
DN	73326706005771540	648518346495435938	73467443359579720	L	DNa10	DNxn003			MTD-II	a	brain	xn	10506	10506	5	xn
DN	73608181183765805	648518346472921956	73185968651711096	R	DNa11	DNxl015			DMT	a	brain	xl	18107	17155	5	xl
DN	73185968651711096	648518346487385258	73185968651711096	L	DNa11	DNxl015			DMT	a	brain	xl	17155	17155	5	xl
DN	73326706072841319	648518346481256591	73467443561053633	L	DNa13	DNxl023			MTD-III	a	brain	xl	11311	11145	5	xl
DN	73467443561053633	648518346507242105	73467443561053633	R	DNa13	DNxl023			MTD-III	a	brain	xl	11145	11145	5	xl
DN	73326706072903566	648518346494759562	73467443561053633	L	DNa13	DNxl024			MTD-III	a	brain	xl	11164	10967	5	xl
DN	73537812305424805	648518346511102773	73467443561053633	R	DNa13	DNxl024			MTD-III	a	brain	xl	10967	10967	5	xl
DN	73467443628271384	648518346466923758	73326706073049758	R	DNa14	DNxl025			MDA	a	brain	xl	15708	14739	5	xl
DN	73326706073049758	648518346524008453	73326706073049758	L	DNa14	DNxl025			MDA	a	brain	xl	14739	14739	5	xl
DN	73326706072810643	648518346491925615	73326706072810643	L	DNa15	DNut038			MTD-I	a	brain	ut	10621	10621	5	ut
DN	73467443561385346	648518346479300827	73326706072810643	R	DNa15	DNut038			MTD-I	a	brain	ut	10720	10621	5	ut
DN	73537812238228320	648518346484049447	73537812238228320	R	DNa16	DNut055			ITD	a	brain	ut	11187	10987	5	ut
DN	73185968517354146	648518346475377844	73537812238228320	L	DNa16	DNut055			ITD	a	brain	ut	10987	10987	5	ut
DN	73678549793580568	648518346478571604	73185968584438272	R	DNad004	DNad004			DLT		brain	ad	14007	13848	4	ad
DN	73185968584438272	648518346486104162	73185968584438272	L	DNad004	DNad004			DLT		brain	xn	13848	13848	4	ad
DN	73537812171039844	648518346494767026	73537812171039844	R	DNad005	DNad005			MTD-II		brain	ad	13750	13750	3	ad
DN	73185968584605790	648518346486528205	73537812171039844	L	DNad005	DNad005			MTD-II		brain	ad	17376	13750	3	ad
DN	73115599907307380	648518346485812420	73678549793679336	L	DNad006	DNad006			DLT		brain	ad	176792	13365	4	ad
DN	73678549793679336	648518346496566018	73678549793679336	R	DNad006	DNad006			DLT		brain	ad	13365	13365	4	ad
DN	73326706072881081	648518346481382757	73326706072881081	L	DNb01	DNxn005			MTD-I	b	brain	xn	12431	12020	5	xn
DN	73467443426998428	648518346464968565	73326706072881081	R	DNb01	DNxn005			MTD-I	b	brain	xn	12020	12020	5	xn
DN	73256337328753720	648518346526144983	73256337329057792	L	DNb02	DNut004			ITD	b	brain	ut	18415	16858	5	ut
DN	73256337329057792	648518346517643624	73256337329057792	L	DNb02	DNut004			ITD	b	brain	ut	16858	16858	5	ut
DN	73537812372639380	648518346477491214	73256337329057792	R	DNb02	DNut004			ITD	b	brain	ut	18445	16858	5	ut
DN	73537812372602691	648518346488615665	73256337329057792	R	DNb02	DNut004			ITD	b	brain	ut	17963	16858	5	ut
DN	73256337462664353	648518346483125412	73256337462664353	L	DNb03	DNut005			ITD	b	brain	ht	21344	20006	5	ut
DN	73256337395842644	648518346476918728	73256337462664353	L	DNb03	DNut005			ITD	b	brain	ut	21756	20006	5	ut
DN	73467443628468241	648518346487786519	73256337462664353	R	DNb03	DNut005			ITD	b	brain	ut	20042	20006	5	ut
DN	73467443628516673	648518346485793220	73256337462664353	R	DNb03	DNut005			ITD	b	brain	ut	20006	20006	5	ut
DN	73256337261632464	648518346497046145	73256337261632464	L	DNb04	DNxn120			MTD-I	b	brain	xn	21685	17989	3	xn
DN	73537812171207731	648518346495569003	73256337261632464	R	DNb04	DNxn120			MTD-I	b	brain	xn	17989	17989	3	xn
DN	73608181183909692	648518346481293455	73185968718664952	R	DNb05	DNxn009	AMMC-Di7	thoracic relay interneuron	DMT	b	brain	xn	10315	10307	5	xn
DN	73185968718664952	648518346481789343	73185968718664952	L	DNb05	DNxn009	AMMC-Di7	thoracic relay interneuron	DMT	b	brain	xn	10307	10307	5	xn
DN	73608181183760297	648518346486480636	73185968651553852	R	DNb06	DNxl003			DMT	b	brain	xl	11349	11276	5	xl
DN	73185968651553852	648518346472251186	73185968651553852	L	DNb06	DNxl003			DMT	b	brain	xl	11276	11276	5	xl
DN	73467443426922033	648518346485807556	73467443426922033	R	DNb07	DNxn095			MTD-I	b	brain	xn	11637	11637	5	xn
DN	73326706005776047	648518346517643368	73467443426922033	L	DNb07	DNxn095			MTD-I	b	brain	xn	11660	11637	5	xn
DN	73256337395801932	648518346499234910	73256337395819525	L	DNb08	DNxl027			DMT	b	brain	xl	14061	13892	5	xl
DN	73256337395819525	648518346500239285	73256337395819525	L	DNb08	DNxl027			DMT	b	brain	xl	13892	13892	5	xl
DN	73537812372580922	648518346481751997	73256337395819525	R	DNb08	DNxl027			DMT	b	brain	xl	14966	13892	5	xl
DN	73537812372588051	648518346500560819	73256337395819525	R	DNb08	DNxl027			DMT	b	brain	xl	14680	13892	5	xl
DN	73467443695136228	648518346499268443	73467443695136228	R	DNb09	DNxn008			MTD-I	b	brain	xn	12304	12167	5	xn
DN	73256337395643707	648518346479276498	73467443695136228	L	DNb09	DNxn008			MTD-I	b	brain	xn	12167	12167	5	xn
DN	73115599840222879	648518346489954266	73115599840222879	L	DNc01	DNxn010			DLT	c	brain	xl	14677	13916	4	xn
DN	73678549793538653	648518346490870136	73115599840222879	R	DNc01	DNxn010			DLT	c	brain	xl	13916	13916	4	xn
DN	73608180982348376	648518346531195674	73608180982348376	R	DNc02	DNxn011			DLT	c	brain	xn	16554	15026	4	xn
DN	73115599907330380	648518346481974973	73608180982348376	L	DNc02	DNxn011			DLT	c	brain	xn	15026	15026	4	xn
DN	73185968785851717	648518346487709098	73185968785851717	L	DNd02	DNxl004	OA-VL1		DLV	d	brain	xl	10194	10194	5	xl
DN	73467443829582880	648518346477596567	73185968785851717	R	DNd02	DNxl004	OA-VL1		DLV	d	brain	xl	10526	10194	5	xl
DN	73608181183956211	648518346479639488	73608181183956211	R	DNd03	DNxn012	OA-VL2		DLT	d	brain	xn	10491	10410	5	xn
DN	73115599907346763	648518346475212088	73608181183956211	L	DNd03	DNxn012	OA-VL2		DLT	d	brain	xn	10410	10410	5	xn
DN	73397075085525745	648518346491054883	73256337596990557	R	DNd04	DNxl061			VTV	d	brain	xn	14282	13428	5	xl
DN	73256337596990557	648518346491671464	73256337596990557	L	DNd04	DNxl061			VTV	d	brain	xl	13428	13428	5	xl
DN	73537812439667613	648518346493762929	73256337462853543	R	DNd05	DNxl026			DLV	d	brain	xl	13238	12898	5	xl
DN	73256337462853543	648518346483594927	73256337462853543	L	DNd05	DNxl026			DLV	d	brain	xl	12898	12898	5	xl
DN	73326706005825313	648518346479324635	73467443628045108	L	DNfl012	DNfl012			none		brain	xn	24193	23404	4	fl
DN	73326706005916066	648518346511819455	73467443628045108	L	DNfl012	DNfl012			none		brain	fl	24193	23404	4	fl
DN	73467443628045108	648518346488401336	73467443628045108	R	DNfl012	DNfl012			none		brain	xn	23404	23404	4	fl
DN	73608180982163403	648518346493834016	73115599907425287	R	DNfl015	DNfl015			none		brain	fl	16562	16369	5	fl
DN	73115599907425287	648518346518919391	73115599907425287	L	DNfl015	DNfl015			none		brain	fl	16369	16369	5	fl
DN	73678549793688468	648518346478714320	73115599974358132	R	DNfl016	DNfl016			DLT		brain	fl	39216	36718	5	fl
DN	73115599974358132	648518346490518013	73115599974358132	L	DNfl016	DNfl016			DLT		brain	xl	36718	36718	5	fl
DN	73608180982215665	648518346490080092	73185968584405202	R	DNfl017	DNfl017			none		brain	fl	32504	32504	4	fl
DN	73185968584405202	648518346493900601	73185968584405202	L	DNfl017	DNfl017			DLT		brain	fl	34737	32504	4	fl
DN	73185968718764899	648518346494224616	73185968718764899	L	DNfl018	DNfl018			VLT		brain	fl	31531	31531	3	fl
DN	73608181184064920	648518346486077320	73185968718764899	R	DNfl018	DNfl018			VLT		brain	fl	33545	31531	3	fl
DN	73537812439627508	648518346511808191	73537812439627508	R	DNfl020	DNfl020			none		brain	fl	152850	31408	5	fl
DN	73185968718485464	648518346495446946	73537812439627508	L	DNfl020	DNfl020			none		brain	fl	31408	31408	5	fl
DN	73185968718584115	648518346489798874	73185968718584115	L	DNfl021	DNfl021			VLT		brain	fl	31381	29182	5	fl
DN	73185968718649655	648518346476847816	73185968718584115	L	DNfl021	DNfl021			VLT		brain	fl	30389	29182	5	fl
DN	73537812506592771	648518346493785376	73185968718584115	R	DNfl021	DNfl021			VLT		brain	fl	29182	29182	5	fl
DN	73537812506611486	648518346486654105	73185968718584115	R	DNfl021	DNfl021			VLT		brain	fl	31787	29182	5	fl
DN	73185968718738737	648518346479050959	73185968718738737	L	DNfl023	DNfl023			none		brain	fl	27936	27775	5	fl
DN	73537812439613165	648518346492925724	73185968718738737	R	DNfl023	DNfl023			none		brain	fl	27775	27775	5	fl
DN	73608180915214591	648518346474109293	73608180915214591	R	DNfl024	DNfl024			none		brain	fl	27520	27217	5	fl
DN	73185968584433507	648518346496235605	73608180915214591	L	DNfl024	DNfl024			none		brain	fl	27217	27217	5	fl
DN	73537812506614571	648518346496789656	73185968718702446	R	DNfl025	DNfl025			none		brain	fl	27095	27095	5	fl
DN	73185968718702446	648518346493989627	73185968718702446	L	DNfl025	DNfl025			none		brain	fl	27523	27095	5	fl
DN	73537812439710923	648518346486434253	73185968718574996	R	DNfl026	DNfl026			none		brain	fl	27026	27014	5	fl
DN	73185968718574996	648518346486414513	73185968718574996	L	DNfl026	DNfl026			none		brain	fl	27014	27014	5	fl
DN	73256337462824739	648518346478502004	73256337462824739	L	DNfl027	DNfl027			VLT		brain	fl	26318	26318	5	fl
DN	73537812439601217	648518346488405838	73256337462824739	R	DNfl027	DNfl027			VLT		brain	fl	50104	26318	5	fl
DN	73608181049529468	648518346500605289	73608181049529468	R	DNfl029	DNfl029			none		brain	fl	26426	25879	5	fl
DN	73608181049756992	648518346508933754	73608181049529468	R	DNfl029	DNfl029			none		brain	fl	27951	25879	5	fl
DN	73115599840269015	648518346479051471	73608181049529468	L	DNfl029	DNfl029			none		brain	fl	25879	25879	5	fl
DN	73185968584428802	648518346489575775	73608181049529468	L	DNfl029	DNfl029			none		brain	fl	28053	25879	5	fl
DN	73115599907410719	648518346494467048	73115599907410719	L	DNfl030	DNfl030			none		brain	fl	23953	23953	5	fl
DN	73608181183919117	648518346491877932	73115599907410719	R	DNfl030	DNfl030			none		brain	fl	27241	23953	5	fl
DN	73608181116584524	648518346517511784	73608181116535648	R	DNfl031	DNfl031			none		brain	fl	22072	22072	4	fl
DN	73115599907337331	648518346466906094	73608181116535648	L	DNfl031	DNfl031			none		brain	fl	23461	22072	4	fl
DN	73608181183966175	648518346494041735	73185968718729719	R	DNfl032	DNfl032			VLT		brain	fl	21440	21235	5	fl
DN	73185968718729719	648518346511779775	73185968718729719	L	DNfl032	DNfl032			VLT		brain	fl	21235	21235	5	fl
DN	73185968718718274	648518346500979817	73185968718718274	L	DNfl033	DNfl033			none		brain	fl	21320	20953	5	fl
DN	73608181183950264	648518346501670762	73185968718718274	R	DNfl033	DNfl033			none		brain	fl	20953	20953	5	fl
DN	73608180915222468	648518346486581681	73608180915222468	R	DNfl034	DNfl034			none		brain	fl	20904	20782	5	fl
DN	73185968584396360	648518346492462011	73608180915222468	L	DNfl034	DNfl034			none		brain	fl	20782	20782	5	fl
DN	73467443426702730	648518346499774019	73467443426702730	R	DNfl035	DNfl035			none		brain	fl	19511	19511	5	fl
DN	73326705938539196	648518346481256847	73467443426702730	L	DNfl035	DNfl035			none		brain	fl	24978	19511	5	fl
DN	73185968651634220	648518346492944668	73185968651634220	L	DNfl036	DNfl036			none		brain	fl	19287	19287	5	fl
DN	73608181116834279	648518346495568719	73185968651634220	R	DNfl036	DNfl036			none		brain	fl	19369	19287	5	fl
DN	73115599974476186	648518346500413244	73185968718736519	L	DNfl037	DNfl037			none		brain	fl	21071	18784	5	fl
DN	73185968718736519	648518346481850015	73185968718736519	L	DNfl037	DNfl037			none		brain	fl	19864	18784	5	fl
DN	73608181183974452	648518346499625868	73185968718736519	R	DNfl037	DNfl037			none		brain	fl	24087	18784	5	fl
DN	73678549927854509	648518346497090328	73185968718736519	R	DNfl037	DNfl037			none		brain	fl	18784	18784	5	fl
DN	73608181183960802	648518346511555952	73185968718617326	R	DNfl038	DNfl038			DMT		brain	fl	17865	17522	4	fl
DN	73185968718617326	648518346479292561	73185968718617326	L	DNfl038	DNfl038			DMT		brain	fl	17522	17522	4	fl
DN	73537812439596268	648518346490893857	73537812439596268	R	DNfl039	DNfl039			none		brain	fl	17995	17494	5	fl
DN	73256337462707069	648518346521560057	73537812439596268	L	DNfl039	DNfl039			none		brain	fl	17494	17494	5	fl
DN	73115599907394308	648518346493883193	73115599907394308	L	DNfl040	DNfl040			none		brain	fl	17400	17400	5	fl
DN	73608181116591718	648518346499168347	73115599907394308	R	DNfl040	DNfl040			none		brain	fl	17547	17400	5	fl
DN	73608181250686556	648518346501642569	73185968718803933	R	DNfl041	DNfl041			VLT		brain	fl	16817	16817	5	fl
DN	73185968718803933	648518346517833576	73185968718803933	L	DNfl041	DNfl041			VLT		brain	fl	17830	16817	5	fl
DN	73608181183850109	648518346498878785	73185968718434117	R	DNfl042	DNfl042			none		brain	fl	19266	16393	5	fl
DN	73185968718434117	648518346489960401	73185968718434117	L	DNfl042	DNfl042			none		brain	fl	16393	16393	5	fl
DN	73185968651651937	648518346493685361	NO MATCH	L	DNfl993				DLT		brain	fl				
DN	73678549793714525	648518346492679342	NO MATCH	R	DNfl994				DLT		brain	fl				
