class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	11327	11071	R	aSP22	DNxn004	DNa12		DMT	a	brain	xn	ACH	0.9607033227	73537812439483533	648518346512050990	73537812439483533	4
DN	11071	11071	L	aSP22	DNxn004	DNa12		DMT	a	brain	xn	ACH	0.9670367611	73256337395807047	648518346494232199	73537812439483533	4
DN	10760	10751	L	DNa01	DNxl001			MTD-III	a	brain	xl	ACH	0.9445366255	73326706072901182	648518346475464576	73326706072901182	5
DN	10751	10751	R	DNa01	DNxl001			MTD-III	a	brain	xl	ACH	0.9510101412	73467443494130882	648518346488820970	73326706072901182	5
DN	10126	10118	L	DNa02	DNxl002			ITD	a	brain	xl	ACH	0.8850437029	73185968584372728	648518346478550356	73608180982162606	5
DN	10118	10118	R	DNa02	DNxl002			ITD	a	brain	xl	ACH	0.870474074	73608180982162606	648518346492614075	73608180982162606	5
DN	25683	25683	L	DNa03	DNit001			MTD-I	a	brain	it	ACH	0.9171344329	73326706072908255	648518346474413250	73467443494030107	5
DN	26462	25683	R	DNa03	DNit001			MTD-I	a	brain	it	ACH	0.9319610716	73467443494030107	648518346479279058	73467443494030107	5
DN	11216	11123	L	DNa04	DNut001			MTD-I	a	brain	ut	ACH	0.8411485542	73256337194179847	648518346490530045	73467443494185945	5
DN	11123	11123	R	DNa04	DNut001			MTD-I	a	brain	ut	ACH	0.8402887243	73467443494185945	648518346494703267	73467443494185945	5
DN	12275	12275	L	DNa05	DNut002			MTD-I	a	brain	ut	ACH	0.9131384715	73326706005766997	648518346489897499	73326706005766997	5
DN	12319	12275	R	DNa05	DNut002			MTD-I	a	brain	ut	ACH	0.9118104709	73467443359583822	648518346495288399	73326706005766997	5
DN	15344	14931	R	DNa06	DNxn001			ITD	a	brain	xn	ACH	0.849281085	73608181049516861	648518346479175868	73185968584350030	4
DN	14931	14931	L	DNa06	DNxn001			ITD	a	brain	xn	ACH	0.9005109528	73185968584350030	648518346493903392	73185968584350030	4
DN	25931	25786	L	DNa07	DNut003			MTD-I	a	brain	ut	ACH	0.7662181819	73326706072774488	648518346493068352	73467443427085036	5
DN	25786	25786	R	DNa07	DNut003			MTD-I	a	brain	ut	ACH	0.787824985	73467443427085036	648518346486152352	73467443427085036	5
DN	163893	15855	L	DNa08	DNwt001			MTD-II	a	brain	wt	ACH	0.9528852951	73326705938368737	648518346518572767	73467443426989741	4
DN	15855	15855	R	DNa08	DNwt001			MTD-II	a	brain	wt	ACH	0.9403757952	73467443426989741	648518346486616781	73467443426989741	4
DN	12259	12259	L	DNa09	DNxn002			MTD-I	a	brain	xn	ACH	0.9048725551	73256337261522049	648518346481212815	73467443427020181	5
DN	12406	12259	R	DNa09	DNxn002			MTD-I	a	brain	xn	ACH	0.8931091331	73467443427020181	648518346477672087	73467443427020181	5
DN	10506	10506	L	DNa10	DNxn003			MTD-II	a	brain	xn	ACH	0.9104912962	73326706005771540	648518346495435938	73467443359579720	5
DN	10531	10506	R	DNa10	DNxn003			MTD-II	a	brain	xn	ACH	0.9183916718	73467443359579720	648518346498258770	73467443359579720	5
DN	18107	17155	R	DNa11	DNxl015			DMT	a	brain	xl	ACH	0.9538848373	73608181183765805	648518346472921956	73185968651711096	5
DN	17155	17155	L	DNa11	DNxl015			DMT	a	brain	xl	ACH	0.9546233808	73185968651711096	648518346487385258	73185968651711096	5
DN	11145	11145	R	DNa13	DNxl023			MTD-III	a	brain	xl	ACH	0.9647321449	73467443561053633	648518346507242105	73467443561053633	5
DN	11311	11145	L	DNa13	DNxl023			MTD-III	a	brain	xl	ACH	0.9484710199	73326706072841319	648518346481256591	73467443561053633	5
DN	10967	10967	L	DNa13	DNxl024			MTD-III	a	brain	xl	ACH	0.9501701929	73537812305424805	648518346511102773	73467443561053633	5
DN	11164	10967	R	DNa13	DNxl024			MTD-III	a	brain	xl	ACH	0.9601685275	73326706072903566	648518346494759562	73467443561053633	5
DN	15708	14739	R	DNa14	DNxl025			MDA	a	brain	xl	ACH	0.9509876088	73467443628271384	648518346466923758	73326706073049758	5
DN	14739	14739	L	DNa14	DNxl025			MDA	a	brain	xl	ACH	0.9103878752	73326706073049758	648518346524008453	73326706073049758	5
DN	10621	10621	L	DNa15	DNut038			MTD-I	a	brain	ut	ACH	0.7980894483	73326706072810643	648518346491925615	73326706072810643	5
DN	10720	10621	R	DNa15	DNut038			MTD-I	a	brain	ut	ACH	0.8223861864	73467443561385346	648518346479300827	73326706072810643	5
DN	10987	10987	L	DNa16	DNut055			ITD	a	brain	ut	ACH	0.8285095374	73185968517354146	648518346475377844	73537812238228320	5
