class	supervoxel_id	root_id	group	side	type	synonyms	neuropil	neuropilgroup	confidence	SA subclass	xyz	x	y	z
AN	79451466875761047	720575940628710555	720575940617440029	L	AN_AMMC_SAD_1		AMMC_SAD	AVLP_AMMC_WED	5		(128652, 82804, 5798)	128652	82804	5798
AN	79451466875757363	720575940628115561	720575940617440029	L	AN_AMMC_SAD_1		AMMC_SAD	AVLP_AMMC_WED	5		(128700, 82880, 5798)	128700	82880	5798
AN	79873748060325270	720575940617440029	720575940617440029	R	AN_AMMC_SAD_1		AMMC_SAD	AVLP_AMMC_WED	5		(134232, 84084, 5798)	134232	84084	5798
AN	79873748060327965	720575940626404429	720575940617440029	R	AN_AMMC_SAD_1		AMMC_SAD	AVLP_AMMC_WED	5		(134297, 84337, 5798)	134297	84337	5798
AN	79451466875754937	720575940620122561	720575940620122561	L	AN_AMMC_SAD_2		AMMC_SAD	AVLP_AMMC_WED	5		(128473, 82901, 5798)	128473	82901	5798
AN	79873748060325155	720575940628358533	720575940620122561	R	AN_AMMC_SAD_2		AMMC_SAD	AVLP_AMMC_WED	5		(134511, 83974, 5798)	134511	83974	5798
AN	79592066925174728	720575940605707198	720575940605707198	L	AN_AVLP_1		AVLP	AVLP_AMMC_WED	5		(130698, 80876, 5798)	130698	80876	5798
AN	79873541901894768	720575940608662318	720575940605707198	R	AN_AVLP_1		AVLP	AVLP_AMMC_WED	5		(134550, 80674, 5798)	134550	80674	5798
AN	79451466875759392	720575940623817776	720575940617415803	L	AN_AVLP_10		AVLP	AVLP_AMMC_WED	5		(128758, 82565, 5798)	128758	82565	5798
AN	79944116804497202	720575940617415803	720575940617415803	R	AN_AVLP_10		AVLP	AVLP_AMMC_WED	5		(135482, 83800, 5798)	135482	83800	5798
AN	79451466875769892	720575940626651691	720575940616835717	L	AN_AVLP_11		AVLP	AVLP_AMMC_WED	5		(128918, 82671, 5798)	128918	82671	5798
AN	79944048085025084	720575940616835717	720575940616835717	R	AN_AVLP_11		AVLP	AVLP_AMMC_WED	5		(135287, 82917, 5798)	135287	82917	5798
