class	cell_id	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	soma_division	neuropil	hemilineage	manc_match_id	manc_group	manc_type	fanc_type	xyz
AN	12599	73467443829636932	648518346499332071	648518346499332071	M	AN00A002	AN00A002			T1	xn	00A	10650	10650	AN00A002		(42099, 75200, 1980)
AN	13582	73397074884057924	648518346493958769	648518346489883609	M	AN00A006	AN00A006		dimorphic morphology	A3	ad	00A	11451	11451	AN00A006		(40609, 75200, 1579)
AN	13543	73397074884244182	648518346493850123	648518346489883609	M	AN00A006	AN00A006		dimorphic morphology	T3	xn	00A	11205	11205	AN00A006		(40881, 75200, 1651)
AN	13550	73326706139944033	648518346517252932	648518346489883609	M	AN00A006	AN00A006		dimorphic morphology	A2	ad	00A	11335	11335	AN00A006		(38563, 75200, 1592)
AN	13565	73326706139932039	648518346500632501	648518346489883609	M	AN00A006	AN00A006		dimorphic morphology	A4	ad	00A	12293	12293	AN00A006		(38693, 75200, 1588)
AN	13537	73326706139929521	648518346489883609	648518346489883609	M	AN00A006	AN00A006		dimorphic morphology	A1	xn	00A	13314	13314	AN00A006		(38563, 75200, 1584)
AN	12590	73256337596959086	648518346507239240	648518346507239240	L	AN00A009	AN00A009			T1	fl	00A	13171	13171	AN00A009		(35114, 75200, 1935)
AN	13516	73185968718599555	648518346475412065	648518346475412065	R	AN01A001	AN01A001			A1	hl	01A	10761	10518	AN01A001		(33275, 75200, 1694)
AN	13670	73608181183877776	648518346498529329	648518346475412065	L	AN01A001	AN01A001			A1	hl	01A	10518	10518	AN01A001		(46414, 75200, 1758)
AN	13737	73185968785905190	648518346518325334	648518346518325334	R	AN01A006	AN01A006			A2	xl	01A	10905	10905	AN01A006		(34456, 75200, 1907)
AN	12061	73537812171105225	648518346484153629	648518346484153629	L	AN01A014	AN01A014			T1	fl	01A	11597	10647	AN01A014		(44342, 75200, 1204)
AN	12016	73256337261629861	648518346491824913	648518346484153629	R	AN01A014	AN01A014			T1	fl	01A	10647	10647	AN01A014		(35769, 75200, 1371)
AN	13727	73185968785903889	648518346502473555	648518346502473555	R	AN01A021	AN01A021			A2	ad	01A	12563	12563	AN01A021		(34230, 75200, 1912)
AN	12073	73256337529970401	648518346490143706	648518346486915836	R	AN01A033	AN01A033			T1	xn	01A	14515	14515	AN01A033		(36762, 75200, 1843)
AN	12142	73397075018393401	648518346486915836	648518346486915836	L	AN01A033	AN01A033			T1	xn	01A	15227	14515	AN01A033		(40682, 75200, 1871)
AN	12093	73326706140078420	648518346518983391	648518346487589011	L	AN01A049	AN01A049			T1	xn	01A	16967	16967	AN01A049		(38243, 75200, 1646)
AN	12004	73397074951126115	648518346487589011	648518346487589011	R	AN01A049	AN01A049			T1	xn	01A	17075	16967	AN01A049		(40377, 75200, 1686)
AN	12428	73256337597092811	648518346498121114	648518346474308717	L	AN01A055	AN01A055			T1	XA	01A	28177	18797	AN01A055		(35992, 75200, 1994)
AN	12386	73256337597082861	648518346510126630	648518346474308717	R	AN01A055	AN01A055			T1	XA	01A	18797	18797	AN01A055		(36121, 75200, 1993)
AN	12416	73397075085498821	648518346474308717	648518346474308717	R	AN01A055	AN01A055			T1	XA	01A	22915	18797	AN01A055		(39319, 75200, 2017)
AN	12442	73326706341280633	648518346497288472	648518346474308717	L	AN01A055	AN01A055			T1	XA	01A	19222	18797	AN01A055		(37868, 75200, 1999)
AN	12422	73256337530148224	648518346494772402	648518346483430564	R	AN01A086	AN01A086			T1	XA	01A	27059	23616	AN01A086		(36422, 75200, 1917)
AN	12368	73397075085488405	648518346483430564	648518346483430564	R	AN01A086	AN01A086			T1	XA	01A	23616	23616	AN01A086		(40375, 75200, 2012)
AN	12415	73397075085495810	648518346497646183	648518346483430564	L	AN01A086	AN01A086			T1	XA	01A	25656	23616	AN01A086		(40048, 75200, 2013)
AN	12390	73256337530181501	648518346492594361	648518346483430564	L	AN01A086	AN01A086			T1	XA	01A	24406	23616	AN01A086		(35924, 75200, 1922)
AN	12562	73326706139869431	648518346491405254	648518346491405254	L	AN01A999			matching problem	T2	xn	01A	#N/A			AN01A999	(37255, 75200, 1563)
AN	13478	73185968785942689	648518346480012788	648518346479579099	L	AN01B002	AN01B002			A2	xl	01B	11478	11478	AN01B002		(34285, 75200, 1917)
AN	13782	73537812573635020	648518346488589193	648518346479579099	R	AN01B002	AN01B002			A2	xn	01B	10862	10675	AN01B002		(43530, 75200, 1952)
AN	13787	73537812573618718	648518346494621611	648518346479579099	R	AN01B002	AN01B002			A2	xl	01B	12239	11478	AN01B002		(43673, 75200, 1948)
AN	13556	73185968785906403	648518346496259852	648518346479579099	L	AN01B002	AN01B002			A3	xn	01B	11197	11197	AN01B002		(34336, 75200, 1911)
AN	13395	73185968785930031	648518346479579099	648518346479579099	L	AN01B002	AN01B002			A2	xn	01B	10675	10675	AN01B002		(34193, 75200, 1920)
AN	13802	73537812573633866	648518346512518558	648518346479579099	R	AN01B002	AN01B002			A3	xn	01B	15533	11197	AN01B002		(43675, 75200, 1954)
AN	13662	73185968785906386	648518346480455126	648518346480455126	L	AN01B004	AN01B004			T3	hl	01B	101563	12866	AN01B004		(34505, 75200, 1913)
AN	13031	73537812573602602	648518346483798447	648518346480455126	R	AN01B004	AN01B004			T2	ml	01B	12600	12577	AN01B004		(43750, 75200, 1940)
AN	12450	73185968785876271	648518346493930744	648518346480455126	L	AN01B004	AN01B004			T1	fl	01B	12809	12809	AN01B004		(34549, 75200, 1895)
AN	13596	73537812573602629	648518346494090999	648518346480455126	R	AN01B004	AN01B004			T3	hl	01B	12866	12866	AN01B004		(43858, 75200, 1938)
AN	12296	73537812573553075	648518346496387157	648518346480455126	R	AN01B004	AN01B004			T1	fl	01B	12940	12809	AN01B004		(43757, 75200, 1932)
AN	13022	73185968785919566	648518346499775043	648518346480455126	L	AN01B004	AN01B004			T2	ml	01B	12577	12577	AN01B004		(34577, 75200, 1922)
AN	12526	73256337462981355	648518346472685515	648518346472685515	L	AN01B005	AN01B005			T1	fl	01B	13783	13758	AN01B005		(35003, 75200, 1764)
AN	13642	73256337463000797	648518346480098533	648518346472685515	L	AN01B005	AN01B005			T3	hl	01B	12571	12448	AN01B005		(35005, 75200, 1776)
AN	13044	73537812439634921	648518346488788664	648518346472685515	R	AN01B005	AN01B005			T2	ml	01B	13366	12700	AN01B005		(43123, 75200, 1752)
AN	13605	73537812439677021	648518346491169315	648518346472685515	R	AN01B005	AN01B005			T3	hl	01B	12448	12448	AN01B005		(43190, 75200, 1768)
AN	13076	73185968718868098	648518346498427474	648518346472685515	L	AN01B005	AN01B005			T2	ml	01B	12700	12700	AN01B005		(34495, 75200, 1791)
AN	12508	73537812439688489	648518346509671113	648518346472685515	R	AN01B005	AN01B005			T1	fl	01B	13758	13758	AN01B005		(43269, 75200, 1780)
AN	13664	73185968718829499	648518346466137392	648518346466137392	L	AN01B011	AN01B011			T3	hl	01B	79206	15699	AN01B011		(34526, 75200, 1783)
AN	13728	73185968718764916	648518346487557267	648518346466137392	L	AN01B011	AN01B011			T1	fl	01B	26227	26227	AN01B011		(34682, 75200, 1758)
AN	12522	73537812506679829	648518346488415672	648518346466137392	R	AN01B011	AN01B011			T1	fl	01B	156551	26227	AN01B011		(44139, 75200, 1846)
