root_id	supervoxel_id	side	soma_division	class	type	lineage	group	manc_group	cell_id
648518346517615464	73537812171140749	R	brain	descending	DNg04		73537812171140749	14340	11002
648518346480662237	73256337261463863	L	brain	descending	DNg04		73537812171140749	14340	10312
648518346500565683	73537812171190730	R	brain	descending	DNg04		73537812171140749	14340	11048
648518346514245319	73256337261514049	L	brain	descending	DNg04		73537812171140749	14340	10308
648518346480418049	73256337194245824	L	brain	descending	DNg01		73256337194245824	18840	10333
648518346491431486	73537812103752723	R	brain	descending	DNg01		73256337194245824	18840	10882
648518346482762982	73537812103730867	R	brain	descending	DNg01		73537812103730867	18840	10917
648518346496163959	73256337194235307	L	brain	descending	DNg01		73537812103730867	18840	10304
648518346478779344	73537812171071986	R	brain	descending	DNg82		73537812171071986	18765	10940
648518346499176030	73256337194241717	L	brain	descending	DNg82		73537812171071986	18765	10355
648518346497698151	73537812171028057	R	brain	descending	DNg82		73537812171071986	18765	10943
648518346493966839	73256337194271995	L	brain	descending	DNg82		73537812171071986	18765	10330
648518346503920590	73537812171047949	R	brain	descending	DNut051		73537812171047949	21358	11000
648518346496825752	73256337261477451	L	brain	descending	DNut051		73537812171047949	21358	10284
648518346489661235	73256337261422016	L	brain	descending	DNg92		73256337261422016	32001	10256
648518346493971447	73537812103789829	R	brain	descending	DNg92		73256337261422016	32001	11063
648518346493614840	73256337194305331	L	brain	descending	DNg92		73256337194305331	32001	10290
648518346488660573	73537812170867721	R	brain	descending	DNg92		73256337194305331	32001	11078
648518346486485473	73256337261447532	L	brain	descending	DNg92		73256337261447532	32001	10265
648518346491289274	73537812170915117	R	brain	descending	DNg92		73256337261447532	32001	11060
648518346474343362	73256337194229403	L	brain	descending	DNg92		73537812103800458	32001	10274
648518346486585497	73537812103800458	R	brain	descending	DNg92		73537812103800458	32001	10942
648518346492203971	73256337261284381	L	brain	descending	DNut057		73256337261284381	17329	10491
648518346484451075	73537812103897479	R	brain	descending	DNut057		73256337261284381	17329	10991
648518346467079918	73256337194304011	L	brain	descending	DNut053		73256337261284381	19535	10309
648518346500219708	73467443426890609	R	brain	descending	DNut053		73256337261284381	19535	10869
648518346510931586	73256337261447685	L	brain	descending	DNut047		73256337261284381	24306	10340
648518346488790001	73537812103769622	R	brain	descending	DNut047		73256337261284381	24306	10959
648518346496164215	73256337194255494	L	brain	descending	DNut043		73256337261284381	26242	10248
648518346474401218	73537812171128049	R	brain	descending	DNut043		73256337261284381	26242	10870
648518346507038024	73256337261538850	L	brain	descending	DNut050		73256337261284381	21454	10255
648518346495852390	73537812171110474	R	brain	descending	DNut050		73256337261284381	21454	11343
648518346482749605	73256337261477449	L	brain	descending	DNg06		73256337261477449	29021	10254
648518346485760708	73256337261498684	L	brain	descending	DNg06		73256337261477449	29021	10292
648518346488844522	73537812170873795	R	brain	descending	DNg06		73256337261477449	29021	10944
648518346491896850	73537812171086467	R	brain	descending	DNg06		73256337261477449	29021	10876
648518346481509279	73256337261490825	L	brain	descending	DNg06		73256337261490825	29021	10268
648518346476888520	73537812103834310	R	brain	descending	DNg06		73256337261490825	29021	10947
648518346510931842	73537812103772985	R	brain	descending	DNg05		73537812103772985	28527	10884
648518346490497277	73256337194271778	L	brain	descending	DNg05		73537812103772985	28527	10465
648518346472925284	73537812171083972	R	brain	descending	DNg05		73537812103772985	28527	11017
648518346531141146	73256337261461077	L	brain	descending	DNg05		73537812103772985	28527	10279
648518346517612904	73537812171095531	R	brain	descending	DNxn100		73537812171095531	22002	10873
648518346483527087	73256337194362747	L	brain	descending	DNxn100		73537812171095531	22002	10295
648518346515430906	73256337261281970	L	brain	descending	DNxn100		73256337261281970	22002	10275
648518346495409999	73537812171031676	R	brain	descending	DNxn100		73256337261281970	22002	11005
648518346485364243	73256337194223615	L	brain	descending	DNxn100		73256337261281970	22002	10378
648518346496617780	73256337194226492	L	brain	descending	DNlt009		73256337194226492	27663	10322
648518346489501711	73537812103728121	R	brain	descending	DNlt009		73256337194226492	27663	10900
648518346514057950	73256337261355239	L	brain	descending	DNlt010		73256337261355239	26517	10370
648518346477726677	73537812170869145	R	brain	descending	DNlt010		73256337261355239	26517	10936
648518346482762470	73537812103773013	R	brain	descending	DNut058		73537812103773013	14693	11027
648518346481494943	73256337261536195	L	brain	descending	DNut058		73537812103773013	14693	10280
648518346459520004	73256337194362184	L	brain	descending	DNg02		73256337194362184	18145	10354
648518346489369708	73537812171084013	R	brain	descending	DNg02		73256337194362184	18145	10892
648518346488768234	73256337194400123	L	brain	descending	DNg02		73256337194223615	26362	10442
648518346496641076	73256337194235316	L	brain	descending	DNg02		73256337194223615	26362	10466
648518346476867528	73256337194399511	L	brain	descending	DNg02		73256337194223615	26362	10389
648518346520612150	73256337194232430	L	brain	descending	DNg02		73256337194223615	24705	10473
648518346491459496	73256337194210285	L	brain	descending	DNg02		73256337194223615	24705	10448
648518346481633725	73256337194255496	L	brain	descending	DNg02		73256337194223615	24705	10379
648518346497897370	73256337194226613	L	brain	descending	DNg02		73256337194223615	18893	10401
648518346493969465	73537812171037249	R	brain	descending	DNg02		73256337194223615	24705	10889
648518346487781911	73537812171090827	R	brain	descending	DNg02		73256337194223615	24705	10919
648518346500703081	73537812171017154	R	brain	descending	DNg02		73256337194223615	24705	10883
648518346480845056	73537812103789985	R	brain	descending	DNg02		73256337194223615	18893	10896
648518346496734253	73537812103754850	R	brain	descending	DNg02		73256337194223615	18893	10893
648518346497168664	73537812171053377	R	brain	descending	DNg02		73256337194223615	18893	10879
648518346490473469	73537812170914997	R	brain	descending	DNg02		73256337194223615	26362	10907
648518346499690892	73537812103759226	R	brain	descending	DNg02		73256337194223615	18893	10905
648518346487354026	73537812103776969	R	brain	descending	DNg02		73256337194223615	26362	10908
648518346496695524	73537812170990466	R	brain	descending	DNg02		73537812170990466	18145	10948
648518346472982628	73256337261355368	L	brain	descending	DNg02		73537812170990466	18145	10478
648518346486616781	73467443426989741	R	brain	descending	DNa08		73467443426989741	15855	10808
648518346518572767	73326705938368737	L	brain	descending	DNa08		73467443426989741	15855	10536
648518346486183522	73537812171034577	R	brain	descending	DNg110		73537812171034577	24679	10916
648518346492372153	73537812171047939	R	brain	descending	DNg110		73537812171034577	24679	10912
648518346483521455	73537812171118051	R	brain	descending	DNg110		73537812171034577	24679	10903
648518346499303655	73256337261439272	L	brain	descending	DNg110		73537812171034577	24679	10443
648518346515433210	73256337261355447	L	brain	descending	DNg110		73537812171034577	24679	10419
648518346472167218	73256337194255331	L	brain	descending	DNg110		73537812171034577	24679	10412
648518346487609666	73537812171012974	R	brain	descending	DNg110		73537812171034577	24679	10895
648518346517613160	73256337194250038	L	brain	descending	DNg110		73537812171034577	24679	10426
648518346500350168	73256337194210281	L	brain	descending	DNg110		73537812171034577	24679	10476
648518346494792586	73256337194241714	L	brain	descending	DNg110		73537812171034577	24679	10480
648518346492458683	73537812171047906	R	brain	descending	DNg02		73537812171047906	18145	10931
648518346470346238	73256337261332303	L	brain	descending	DNg02		73537812171047906	18145	10400
648518346504153324	73537812171037291	R	brain	descending	DNg02		73537812171037291	26362	10927
648518346490882081	73256337194245532	L	brain	descending	DNg02		73537812171037291	18893	10407
648518346493036864	73256337194223659	L	brain	descending	DNg03		73537812103743988	25543	10418
648518346488372105	73256337194226417	L	brain	descending	DNg03		73537812103743988	25543	10390
648518346472166962	73256337194205208	L	brain	descending	DNg03		73537812103743988	25543	10428
648518346494579883	73256337194202908	L	brain	descending	DNg03		73537812103743988	25543	10409
648518346488588017	73256337194188818	L	brain	descending	DNg03		73537812103743988	25543	10451
648518346509813542	73256337194197769	L	brain	descending	DNg03		73537812103743988	25543	10471
648518346500236348	73256337261332146	L	brain	descending	DNg03		73537812103743988	25543	10475
648518346487792464	73537812103743988	R	brain	descending	DNg03		73537812103743988	25543	10918
648518346502298535	73537812103719320	R	brain	descending	DNg03		73537812103743988	25543	10906
648518346486606307	73537812170969658	R	brain	descending	DNg03		73537812103743988	25543	10915
648518346489283929	73537812103749055	R	brain	descending	DNg03		73537812103743988	25543	10934
648518346485335315	73537812103726810	R	brain	descending	DNg03		73537812103743988	25543	10914
648518346492490683	73537812103834688	R	brain	descending	DNg03		73537812103743988	25543	10929
648518346481229967	73537812103862141	R	brain	descending	DNg03		73537812103743988	25543	10920
648518346515288135	73397074749835452	R	brain	descending	DNit999		73397074749835452	0	10750
648518346510129958	73397074750046817	L	brain	descending	DNit999		73397074749835452	0	10743
648518346498099866	73397074816991644	L	brain	descending	DNxn138		73397074816991644	24755	10707
648518346483149220	73397074817177189	R	brain	descending	DNxn138		73397074816991644	24755	10736
648518346498312688	73397074817068891	R	brain	descending	DNp25		73397074817068891	28538	10713
648518346491966764	73397074816941944	L	brain	descending	DNp25		73397074817068891	28538	10671
648518346509026426	73397074816953444	L	brain	descending	DNit004		73397074817108485	41456	10662
648518346466654574	73397074817108485	R	brain	descending	DNit004		73397074817108485	41456	10704
648518346496198519	73467443493978756	R	brain	descending	DNxn172		73467443493978756	21431	10775
648518346496228925	73397074817016158	L	brain	descending	DNxn172		73467443493978756	21431	10632
648518346483204516	73397074749803995	L	brain	descending	DNit998		73397074750172488	0	10650
648518346518603231	73397074750172488	L	brain	descending	DNit998		73397074750172488	0	10735
648518346495287887	73397074817134691	L	brain	descending	DNxn113		73397074817134691	28004	10651
648518346499996678	73397074817091592	R	brain	descending	DNxn113		73397074817134691	28004	10722
648518346507132959	73397074817057209	R	brain	descending	DNp68		73397074817057209	14585	10746
648518346475224929	73397074883910025	L	brain	descending	DNp68		73397074817057209	14585	10631
648518346486183304	73326706139692431	L	brain	descending	DNg27		73326706139692431	13061	10617
648518346491753583	73397074749946911	L	brain	descending	DNg27		73326706139692431	13061	10742
648518346502963443	73467443494422883	R	brain	descending	DNxn103		73467443494422883	12613	10772
648518346515055943	73397074750006016	L	brain	descending	DNxn103		73467443494422883	12613	10734
648518346480534331	73467443427082437	R	brain	descending	DNp13		73467443427082437	10819	10785
648518346501160604	73326706139694689	L	brain	descending	DNp13		73467443427082437	10819	10559
648518346493042864	73608180915103610	R	brain	descending	DNxn071		73608180915103610	14485	11225
648518346490247772	73115599840250238	L	brain	descending	DNxn071		73608180915103610	14485	10048
648518346486162857	73467443628213424	R	brain	descending	DNp62		73467443628213424	15680	10823
648518346495657890	73326706139996428	L	brain	descending	DNp62		73467443628213424	15680	10556
648518346472414473	73397074749852612	L	brain	descending	DNxn179		73397074749852612	12617	10689
648518346484534275	73397074682626626	R	brain	descending	DNxn179		73397074749852612	12617	10739
648518346498247729	73397074750046575	L	brain	descending	DNxn179		73397074750046575	12617	10724
648518346494717973	73467443561247200	R	brain	descending	DNxn179		73397074750046575	12617	10765
648518346517557060	73397074884046275	R	brain	descending	oviDNa		73397074884046275	0	10706
648518346491247137	73397074817106104	L	brain	descending	oviDNa		73397074884046275	0	10636
648518346474414786	73397074884097754	R	brain	descending	oviDNb		73397074884097754	0	10688
648518346507125023	73397074884076630	R	brain	descending	oviDNb		73397074884097754	0	10700
648518346480283350	73397074884160839	R	brain	descending	oviDNb		73397074884097754	0	10737
648518346499244638	73397074817087036	L	brain	descending	oviDNb		73397074884097754	0	10637
648518346495991613	73397074816967291	L	brain	descending	oviDNb		73397074884097754	0	10680
648518346491436350	73397074817156736	L	brain	descending	oviDNb		73397074884097754	0	10644
648518346504326636	73397074817196394	R	brain	descending	oviDN unmatched		73397074817196394	0	10692
648518346484052263	73397074817123689	L	brain	descending	oviDN unmatched		73397074817196394	0	10649
648518346486161833	73397074817093810	L	brain	descending	oviDNx		73397074817093810	0	10645
648518346511819967	73397074884041242	R	brain	descending	oviDNx		73397074817093810	0	10693
648518346490755757	73397074817137459	L	brain	descending	oviDNx		73397074817137459	0	10641
648518346512497310	73397074884016685	R	brain	descending	oviDNx		73397074817137459	0	10701
648518346514273991	73397074817073472	L	brain	descending	oviDN unmatched		73397074817073472	0	10673
648518346478560084	73397074884012915	R	brain	descending	oviDN unmatched		73397074817073472	0	10685
648518346500992278	73397074682722305	R	brain	descending	DNg33		73397074682722305	14847	11347
648518346518524895	73397074682833924	R	brain	descending	DNg33		73397074682722305	14847	10738
648518346483594671	73397074884062533	R	brain	descending	DNxn130		73397074884062533	20188	10711
648518346493645304	73397074817113517	L	brain	descending	DNxn130		73397074884062533	20188	10629
648518346482717414	73397074750013600	R	brain	descending	DNxn126		73397074750013600	18748	10756
648518346480257339	73397074750092392	R	brain	descending	DNxn126		73397074750013600	18748	10752
648518346479188687	73397074817123704	R	brain	descending	DNp65		73397074817123704	18814	10741
648518346480930784	73397074817004815	L	brain	descending	DNp65		73397074817123704	18814	10694
648518346472919140	73397074817150541	R	brain	descending	DNxn140		73397074817150541	15769	10731
648518346491971884	73397074817153368	L	brain	descending	DNxn140		73397074817150541	15769	10654
648518346481261967	73397074817089338	R	brain	descending	DNp48		73397074817089338	13203	10729
648518346498315569	73397074884038796	L	brain	descending	DNp48		73397074817089338	13203	10630
648518346488602381	73397074682683042	R	brain	descending	DNit992		0	0	10723
648518346479325147	73397074816967305	L	brain	descending	DNxn137		73397074816967305	39475	10665
648518346496551725	73397074884248815	R	brain	descending	DNxn137		73397074816967305	39475	10747
648518346485807300	73467443561197026	R	brain	descending	DNit997		73467443561197026	0	10760
648518346500126982	73397074817211992	L	brain	descending	DNit997		73467443561197026	0	10633
648518346464943989	73397074884293474	R	brain	descending	DNp24		73397074884293474	19414	10716
648518346515108167	73397074883851050	L	brain	descending	DNp24		73397074884293474	19414	10652
648518346496396924	73326706139874797	L	brain	descending	DNp64		73326706139874797	17113	10622
648518346481234063	73397074884085631	R	brain	descending	DNp64		73326706139874797	17113	10710
648518346495546475	73397074816937495	L	brain	descending	DNxn141		73397074816937495	15604	10687
648518346485831108	73397074817068928	R	brain	descending	DNxn141		73397074816937495	15604	10698
648518346493704817	73397074817185442	R	brain	descending	DNxn177		73397074817185442	14999	10705
648518346477796053	73397074817029134	L	brain	descending	DNxn177		73397074817185442	14999	10679
648518346470425342	73326706072885936	L	brain	descending	DNxn989		0	0	10608
648518346504984179	73397074884241770	R	brain	descending	DNg22		73397074884241770	14244	10712
648518346500236981	73326706140252881	L	brain	descending	DNg22		73397074884241770	14244	10597
648518346501660489	73537812171264215	R	brain	descending	DNp11		73537812171264215	10113	10955
648518346509757242	73256337328594796	L	brain	descending	DNp11		73537812171264215	10113	10485
648518346493034780	73537812305604105	R	brain	descending	DNp07		73537812305604105	11150	10904
648518346499898067	73256337261632445	L	brain	descending	DNp07		73537812305604105	11150	10506
